geneid	pubmedid	annotationmethod	annotationsource
NCU00003	19696111	Manual	Broad_CAP
NCU00005	20675579	Manual	Broad_CAP
NCU00005	22469835	Manual	Broad_CAP
NCU00005	23125351	Manual	Broad_CAP
NCU00006	22469835	Manual	Broad_CAP
NCU00007	22469835	Manual	Broad_CAP
NCU00007	23173086	Manual	Broad_CAP
NCU00008	19520721	Manual	Broad_CAP
NCU00008	19696111	Manual	Broad_CAP
NCU00008	22001287	Manual	Broad_CAP
NCU00009	22469835	Manual	Broad_CAP
NCU00010	20018766	Manual	Broad_CAP
NCU00010	22345350	Manual	Broad_CAP
NCU00011	20675579	Manual	Broad_CAP
NCU00015	23125351	Manual	Broad_CAP
NCU00017	15007097	Manual	Broad_CAP
NCU00017	16801547	Manual	Broad_CAP
NCU00018	19696111	Manual	Broad_CAP
NCU00018	22462823	Manual	Broad_CAP
NCU00019	22469835	Manual	Broad_CAP
NCU00021	23733042	Manual	Broad_CAP
NCU00021	24037267	Manual	Broad_CAP
NCU00022	22469835	Manual	Broad_CAP
NCU00023	19696111	Manual	Broad_CAP
NCU00023	21980519	Manual	Broad_CAP
NCU00023	22345350	Manual	Broad_CAP
NCU00024	20018766	Manual	Broad_CAP
NCU00024	19696111	Manual	Broad_CAP
NCU00024	22345350	Manual	Broad_CAP
NCU00024	22462823	Manual	Broad_CAP
NCU00025	19696111	Manual	Broad_CAP
NCU00026	22152473	Manual	Broad_CAP
NCU00026	22462823	Manual	Broad_CAP
NCU00027	22152473	Manual	Broad_CAP
NCU00027	22345350	Manual	Broad_CAP
NCU00028	19696111	Manual	Broad_CAP
NCU00028	22345350	Manual	Broad_CAP
NCU00028	22445960	Manual	Broad_CAP
NCU00029	20034585	Manual	Broad_CAP
NCU00030	22152473	Manual	Broad_CAP
NCU00032	12589072	Manual	Broad_CAP
NCU00034	22152473	Manual	Broad_CAP
NCU00034	23733042	Manual	Broad_CAP
NCU00037	19520721	Manual	Broad_CAP
NCU00038	19520721	Manual	Broad_CAP
NCU00039	19696111	Manual	Broad_CAP
NCU00039	22469835	Manual	Broad_CAP
NCU00040	20018766	Manual	Broad_CAP
NCU00040	15007097	Manual	Broad_CAP
NCU00040	19696111	Manual	Broad_CAP
NCU00040	23589521	Manual	Broad_CAP
NCU00040	23733042	Manual	Broad_CAP
NCU00040	24037267	Manual	Broad_CAP
NCU00040	22955885	Manual	Broad_CAP
NCU00041	15007097	Manual	Broad_CAP
NCU00041	15701799	Manual	Broad_CAP
