geneid	geneidv1	geneidv2	geneidv3	geneidv4	geneidv5
NCU00003	NCU00003.1	NCU00003.2	NCU00003.3	NCU00003.4	NCU00003.5
NCU00004	NCU00004.1	NCU00004.2	NCU00004.3	NCU00004.4	NCU00004.5
NCU00005	NCU00005.1	NCU00005.2	NCU00005.3	NCU00005.4	NCU00005.5
NCU00006	NCU00006.1	NCU00006.2	NCU00006.3	NCU00006.4	NCU00006.5
NCU00007	NCU00007.1	NCU00007.2	NCU00007.3	NCU00007.4	NCU00007.5
NCU00008	NCU00008.1	NCU00008.2	NCU00008.3	NCU00008.4	NCU00008.5
NCU00009	NCU00009.1	NCU00009.2	NCU00009.3	NCU00009.4	NCU00009.5
NCU00010	NCU00010.1	NCU00010.2	NCU00010.3	NCU00010.4	NCU00010.5
NCU00011	NCU00011.1	NCU00011.2	NCU00011.3	NCU00011.4	NCU00011.5
NCU00013	NCU00013.1	NCU00013.2	NCU00013.3	NCU00013.4	NCU00013.5
NCU00014	NCU00014.1	NCU00014.2	NCU00014.3	NCU00014.4	NCU00014.5
NCU00015	NCU00015.1	NCU00015.2	NCU00015.3	NCU00015.4	NCU00015.5
NCU00017	NCU00017.1	NCU00017.2	NCU00017.3	NCU00017.4	NCU00017.5
NCU00018	NCU00018.1	NCU00018.2	NCU00018.3	NCU00018.4	NCU00018.5
NCU00019	NCU00019.1	NCU00019.2	NCU00019.3	NCU00019.4	NCU00019.5
NCU00021	NCU00021.1	NCU00021.2	NCU00021.3	NCU00021.4	NCU00021.5
NCU00022	NCU00022.1	NCU00022.2	NCU00022.3	NCU00022.4	NCU00022.5
NCU00023	NCU00023.1	NCU00023.2	NCU00023.3	NCU00023.4	NCU00023.5
NCU00024	NCU00024.1	NCU00024.2	NCU00024.3	NCU00024.4	NCU00024.5
NCU00025	NCU00025.1	NCU00025.2	NCU00025.3	NCU00025.4	NCU00025.5
NCU00026	NCU00026.1	NCU00026.2	NCU00026.3	NCU00026.4	NCU00026.5
NCU00027	NCU00027.1	NCU00027.2	NCU00027.3	NCU00027.4	NCU00027.5
NCU00028	NCU00028.1	NCU00028.2	NCU00028.3	NCU00028.4	NCU00028.5
NCU00029	NCU00029.1	NCU00029.2	NCU00029.3	NCU00029.4	NCU00029.5
NCU00030	NCU00030.1	NCU00030.2	NCU00030.3	NCU00030.4	NCU00030.5
NCU00031	NCU00031.1	NCU00031.2	NCU00031.3	NCU00031.4	NCU00031.5
NCU00032	NCU00032.1	NCU00032.2	NCU00032.3	NCU00032.4	NCU00032.5
NCU00033	NCU00033.1	NA	NA	NCU11858.4	NCU00033.5
NCU00034	NCU00034.1	NCU00034.2	NCU00034.3	NCU00034.4	NCU00034.5
NCU00035	NCU00035.1	NCU00035.2	NCU00035.3	NCU00035.4	NCU00035.5
NCU00037	NCU00037.1	NCU00037.2	NCU00037.3	NCU00037.4	NCU00037.5
NCU00038	NCU00038.1	NCU00038.2	NCU00038.3	NCU00038.4	NCU00038.5
NCU00039	NCU00039.1	NCU00039.2	NCU00039.3	NCU00039.4	NCU00039.5
NCU00040	NCU00040.1	NCU00040.2	NCU00040.3	NCU00040.4	NCU00040.5
NCU00041	NCU00041.1	NCU00041.2	NCU00041.3	NCU00041.4	NCU00041.5
NCU00042	NCU00042.1	NCU00042.2	NCU00042.3	NCU00042.4	NCU00042.5
NCU00043	NCU00043.1	NCU00043.2	NCU00043.3	NCU00043.4	NCU00043.5
NCU00045	NCU00045.1	NCU00045.2	NCU00045.3	NCU00045.4	NCU00045.5
NCU00046	NCU00046.1	NCU00046.2	NCU00046.3	NCU00046.4	NCU00046.5
NCU00047	NCU00047.1	NCU00047.2	NCU00047.3	NCU00047.4	NCU00047.5
NCU00048	NCU00048.1	NCU00048.2	NCU00048.3	NCU00048.4	NCU00048.5
NCU00050	NCU00050.1	NCU00050.2	NCU00050.3	NCU00050.4	NCU00050.5
NCU00051	NCU00051.1	NCU00051.2	NCU00051.3	NCU00051.4	NCU00051.5
NCU00052	NCU00052.1	NCU00052.2	NCU00052.3	NCU00052.4	NCU00052.5
NCU00054	NCU00054.1	NCU00054.2	NCU00054.3	NCU00054.4	NCU00054.5
NCU00055	NCU00055.1	NCU00055.2	NCU00055.3	NCU00055.4	NCU00055.5
NCU00056	NCU00056.1	NCU00056.2	NCU00056.3	NCU00056.4	NCU00056.5
NCU00057	NCU00057.1	NCU00057.2	NCU00057.3	NCU00057.4	NCU00057.5
NCU00059	NCU00059.1	NCU00059.2	NCU00059.3	NCU00059.4	NCU00059.5
NCU00060	NCU00060.1	NCU00060.2	NCU00060.3	NCU00060.4	NCU00060.5
NCU00061	NCU00061.1	NCU00061.2	NCU00061.3	NCU00061.4	NCU00061.5
