geneid	geneidv5
NCU15835	NCU10018.5
NCU15835	NCU10017.5
NCU10258	NCU11359.5
NCU10258	NCU11358.5
NCU15829	NCU07039.5
NCU15829	NCU07040.5
NCU15834	NCU01538.5
NCU15834	NCU01537.5
NCU15831	NCU00256.5
NCU15831	NCU00255.5
NCU01899	NCU11462.5
NCU01899	NCU01899.5
NCU04073	NCU12109.5
NCU04073	NCU12108.5
NCU10883	NCU05140.5
NCU10883	NCU05139.5
NCU07571	NCU07571.5
NCU15832	NCU07571.5
NCU04785	NCU04785.5
NCU06979	NCU06979.5
NCU04352	NCU04352.5
NCU04903	NCU04903.5
NCU04374	NCU04374.5
NCU16719	NCU11674.5
NCU08019	NCU08019.5
NCU05163	NCU05163.5
NCU07274	NCU07274.5
NCU04443	NCU04443.5
NCU09838	NCU09838.5
NCU07202	NCU07202.5
NCU09689	NCU09689.5
NCU01247	NCU01247.5
NCU01355	NCU01355.5
NCU09530	NCU09530.5
NCU03651	NCU03651.5
NCU03825	NCU03825.5
NCU01333	NCU01333.5
NCU06726	NCU06726.5
NCU04275	NCU04275.5
NCU06511	NCU06511.5
NCU06258	NCU06258.5
NCU00137	NCU00137.5
NCU00173	NCU00173.5
NCU00257	NCU00257.5
NCU05703	NCU05703.5
NCU06073	NCU06073.5
NCU02264	NCU02264.5
NCU09024	NCU09024.5
NCU06876	NCU06876.5
NCU06861	NCU06861.5
NCU02429	NCU02429.5
NCU02327	NCU02327.5
NCU08138	NCU08138.5
NCU02239	NCU02239.5
NCU09041	NCU09041.5
NCU02127	NCU02127.5
NCU00927	NCU00927.5
NCU00535	NCU00535.5
NCU00893	NCU00893.5
NCU01888	NCU01888.5
NCU02173	NCU02173.5
NCU05375	NCU05375.5
NCU05933	NCU05933.5
NCU03993	NCU03993.5
NCU05926	NCU05926.5
NCU04730	NCU04730.5
NCU04014	NCU04014.5
NCU09736	NCU09736.5
NCU07338	NCU07338.5
NCU05306	NCU05306.5
NCU07190	NCU07190.5
NCU07232	NCU07232.5
NCU03728	NCU03728.5
NCU04174	NCU04174.5
NCU04146	NCU04146.5
NCU09551	NCU09551.5
NCU03592	NCU03592.5
NCU10359	NCU10359.5
NCU04202	NCU04202.5
NCU11138	NCU11138.5
NCU03692	NCU03692.5
NCU01413	NCU01413.5
NCU08873	NCU08873.5
NCU03796	NCU03796.5
NCU04576	NCU04576.5
NCU03716	NCU03716.5
NCU09536	NCU09536.5
NCU01208	NCU01208.5
NCU08925	NCU08925.5
NCU01267	NCU01267.5
NCU11182	NCU11182.5
NCU16606	NCU11794.5
NCU00068	NCU00068.5
NCU09013	NCU09013.5
NCU00396	NCU00396.5
NCU08217	NCU08217.5
NCU00042	NCU00042.5
NCU02241	NCU02241.5
NCU06866	NCU06866.5
NCU02345	NCU02345.5
NCU11410	NCU11410.5
NCU02214	NCU02214.5
NCU05827	NCU05827.5
NCU10747	NCU10747.5
NCU02567	NCU02567.5
NCU02783	NCU02783.5
NCU00628	NCU00628.5
NCU08376	NCU08376.5
NCU09315	NCU09315.5
NCU07416	NCU07416.5
NCU08094	NCU08094.5
