geneid	ecnumber
NCU08195	EC:6.1.1.19
NCU06439	EC:2.7.7.6
NCU08554	EC:5.2.1.8
NCU09508	EC:3.5.1.41
NCU00409	EC:4.2.1.51
NCU00419	EC:2.7.7.6
NCU00153	EC:1.6.99.3
NCU00461	EC:1.4.1.2
NCU08228	EC:1.1.1.22
NCU03592	EC:3.6.3.1
NCU01376	EC:3.1.3.1
NCU04143	EC:2.7.11.1
NCU10359	EC:3.5.1.23
NCU03648	EC:3.5.1.2
NCU04202	EC:2.7.4.6
NCU08506	EC:3.1.26.5
NCU01692	EC:2.3.3.1
NCU03333	EC:3.1.3.48
NCU03861	EC:3.5.1.2
NCU03857	EC:1.1.1.42
NCU05028	EC:3.6.4.4
NCU08648	EC:3.1.30.1
NCU06625	EC:1.13.11.20
NCU08035	EC:3.6.3.14
NCU08276	EC:3.1.1.5
NCU10107	EC:5.3.1.26
NCU06618	EC:3.4.15.5
NCU07338	EC:2.4.1.232
NCU16791	EC:3.4.21.89
NCU05295	EC:3.4.25.1
NCU08275	EC:4.1.1.25
NCU06372	EC:3.4.19.12
NCU07659	EC:2.3.1.12
NCU07659	EC:1.2.1.-
NCU07623	EC:4.1.1.64
NCU07610	EC:1.14.11.17
NCU06360	EC:2.6.1.9
NCU07190	EC:3.2.1.4
NCU04634	EC:1.3.1.45
NCU08968	EC:2.1.1.48
NCU03713	EC:3.6.1.42
NCU05037	EC:4.2.1.52
NCU03986	EC:2.7.7.6
NCU07126	EC:2.3.1.60
NCU03929	EC:6.2.1.3
NCU04725	EC:3.5.1.25
NCU05121	EC:3.2.1.4
NCU04402	EC:2.1.1.43
NCU07001	EC:2.3.1.31
NCU04990	EC:2.7.11.1
NCU04352	EC:2.4.1.212
NCU04352	EC:2.4.1.16
NCU06996	EC:2.7.1.4
NCU06996	EC:2.7.1.1
NCU08802	EC:4.1.2.37
NCU06544	EC:2.7.11.13
NCU06573	EC:3.1.1.13
NCU04443	EC:1.6.5.5
NCU01467	EC:1.6.5.3
NCU04592	EC:1.3.1.28
NCU04592	EC:1.1.1.69
NCU03597	EC:2.7.7.7
NCU03813	EC:1.2.1.2
NCU04636	EC:2.8.1.7
NCU01441	EC:3.6.4.4
NCU01441	EC:3.6.4.9
NCU01441	EC:3.6.5.5
NCU01441	EC:3.6.1.15
NCU01441	EC:3.6.5.-
NCU10053	EC:2.1.1.45
NCU09041	EC:1.1.1.10
NCU09041	EC:1.1.1.138
NCU02127	EC:6.4.1.4
NCU03084	EC:3.2.2.7
NCU03084	EC:3.2.2.2
NCU03084	EC:3.2.2.1
NCU09810	EC:6.2.1.5
NCU00920	EC:6.1.1.5
NCU10058	EC:5.4.2.2
NCU01870	EC:4.2.1.11
NCU00609	EC:2.4.1.232
NCU02712	EC:2.7.2.1
NCU00587	EC:2.7.12.2
NCU00893	EC:6.3.2.17
NCU09377	EC:3.1.3.16
NCU01985	EC:2.7.7.4
NCU01888	EC:3.5.4.-
NCU02895	EC:3.6.1.13
NCU00536	EC:2.3.1.31
NCU03283	EC:4.2.1.80
NCU09596	EC:1.14.11.18
NCU01821	EC:2.6.1.52
NCU03404	EC:3.1.3.2
NCU04726	EC:3.2.1.21
NCU04726	EC:3.2.1.49
NCU04726	EC:3.2.1.52
NCU04014	EC:3.1.2.15
NCU08767	EC:2.7.11.1
NCU07887	EC:1.17.4.1
NCU00478	EC:3.1.4.17
NCU01192	EC:2.7.7.7
NCU01294	EC:3.5.1.4
NCU03771	EC:2.7.7.41
NCU01229	EC:2.3.1.48
NCU00358	EC:2.7.1.158
NCU05683	EC:4.2.1.9
NCU06266	EC:2.1.1.43
NCU00173	EC:3.1.2.12
NCU07741	EC:2.3.1.51
NCU10546	EC:2.7.7.58
NCU03756	EC:2.6.1.28
NCU03756	EC:2.6.1.57
NCU03756	EC:2.6.1.58
NCU03756	EC:2.6.1.27
NCU03756	EC:2.6.1.5
NCU07159	EC:3.4.21.62
NCU07807	EC:4.1.2.13
NCU05852	EC:4.2.2.14
NCU02343	EC:3.2.1.55
NCU02361	EC:3.5.1.49
NCU06861	EC:3.2.1.37
NCU05851	EC:6.2.1.12
NCU02245	EC:2.7.11.1
NCU06017	EC:2.8.1.3
NCU06017	EC:2.8.1.1
NCU06871	EC:2.4.1.34
NCU02457	EC:2.7.7.7
NCU02282	EC:1.11.1.10
NCU02282	EC:2.4.1.-
NCU09281	EC:3.2.1.20
NCU07451	EC:6.1.1.10
NCU00824	EC:3.5.1.98
NCU02583	EC:3.2.1.20
NCU02126	EC:1.3.99.10
NCU02829	EC:5.4.2.8
NCU07355	EC:3.2.1.59
NCU09326	EC:3.2.1.58
NCU16377	EC:3.1.13.3
NCU03219	EC:3.4.21.61
NCU02109	EC:2.7.7.23
NCU00604	EC:6.5.1.4
NCU01550	EC:2.7.4.3
NCU09798	EC:1.1.1.90
NCU04815	EC:4.4.1.5
NCU04744	EC:4.2.1.52
NCU05118	EC:3.6.3.14
NCU05965	EC:3.2.1.55
NCU03973	EC:2.6.1.2
NCU08027	EC:3.6.1.42
NCU08027	EC:3.6.1.6
NCU04903	EC:3.4.14.9
NCU06310	EC:3.6.1.11
NCU04953	EC:3.4.23.20
NCU08643	EC:3.1.3.2
NCU08643	EC:3.1.4.12
NCU05212	EC:3.5.1.41
NCU06541	EC:2.4.1.131
NCU04940	EC:1.3.1.48
NCU06281	EC:3.6.3.1
NCU03617	EC:3.8.1.2
NCU03779	EC:2.7.1.29
NCU09826	EC:3.1.27.5
NCU16917	EC:2.8.1.-
NCU07165	EC:5.3.1.8
NCU04600	EC:3.1.3.16
NCU07170	EC:4.1.1.76
NCU07170	EC:5.1.1.3
NCU03651	EC:1.1.1.40
NCU01225	EC:6.3.2.19
NCU08940	EC:1.10.2.2
NCU00406	EC:2.7.11.1
NCU07836	EC:1.1.1.169
NCU07860	EC:3.2.1.20
NCU00034	EC:2.1.1.100
NCU00463	EC:3.7.1.3
NCU01333	EC:1.3.1.71
NCU04566	EC:2.7.11.1
NCU00030	EC:3.1.21.1
NCU05706	EC:2.5.1.18
NCU00488	EC:3.1.3.16
NCU08535	EC:6.4.1.2
NCU08535	EC:6.3.4.14
NCU09715	EC:2.4.1.15
NCU02226	EC:5.3.1.23
NCU02371	EC:3.4.21.105
NCU08138	EC:4.4.1.17
NCU09390	EC:1.1.1.252
NCU00677	EC:6.2.1.30
NCU01867	EC:3.2.1.4
