geneid	funcatid	gotermid	pubmedid
NCU00007	30.05	 GO:0007166	PMID:15486203
NCU00007	34.11.03.11	 GO:0009268	PMID:15486203
NCU00008	01.06	 GO:0006629	PMID:15486203
NCU00008	20.09.07.03	 GO:0006888	PMID:15486203
NCU00008	40.20	 GO:0007569	PMID:15486203
NCU00008	70.07	 GO:0005783	PMID:15486203
NCU00010	20.09.13	 GO:0007034	PMID:15486203
NCU00010	34.01.01.01	 GO:0006875	PMID:15486203
NCU00010	70.25	 GO:0005764	PMID:15486203
NCU00018	14.13.01.01	 GO:0043161	PMID:15486203
NCU00019	10.01.09.05	 GO:0006265	PMID:15486203
NCU00019	10.03.01	 GO:0000074	PMID:15486203
NCU00019	11.02.03.04	 GO:0045449	PMID:15486203
NCU00019	70.10	 GO:0005634	PMID:15486203
NCU00021	10.03.03	 GO:0000910	PMID:15486203
NCU00021	12.04.01	 GO:0006413	PMID:15486203
NCU00021	42.16	 GO:0007005	PMID:15486203
NCU00023	34.01.01.01	 GO:0006875	PMID:15486203
NCU00027	11.04.02	 GO:0008033	PMID:15486203
NCU00028	01.05	 GO:0005975	PMID:15486203
NCU00029	20.01.01.01	 GO:0006812	PMID:15486203
NCU00029	20.09.13	 GO:0007034	PMID:15486203
NCU00029	34.01.01	 GO:0030003	PMID:15486203
NCU00029	70.25	 GO:0005764	PMID:15486203
NCU00030	01.03.16	 GO:0006308	PMID:15486203
NCU00030	70.16	 GO:0005739	PMID:15486203
NCU00034	01.06	 GO:0006629	PMID:15486203
NCU00034	14.07.01	 GO:0006497	PMID:15486203
NCU00035	01.06	 GO:0006629	PMID:15486203
NCU00040	12.04.01	 GO:0006413	PMID:15486203
NCU00040	70.03	 GO:0005737	PMID:15486203
NCU00041	34.11.03.07	 GO:0019236	PMID:15486203
NCU00045	11.02.03.04	 GO:0045449	PMID:15486203
NCU00050	01.05	 GO:0005975	PMID:15486203
NCU00050	02.01	 GO:0006096	PMID:15486203
NCU00050	70.16	 GO:0005739	PMID:15486203
NCU00067	18.02.01	 GO:0050790	PMID:15486203
NCU00075	14.01	 GO:0006457	PMID:15486203
NCU00075	32.01.05	 GO:0009408	PMID:15486203
NCU00075	70.16	 GO:0005739	PMID:15486203
NCU00077	16.03.01	 GO:0003677	PMID:15486203
NCU00081	16.03.01	 GO:0003677	PMID:15486203
NCU00081	70.10	 GO:0005634	PMID:15486203
NCU00086	01.05.03	 GO:0000272	PMID:15486203
NCU00087	11.04.02	 GO:0008033	PMID:15486203
NCU00088	01.04	 GO:0006796	PMID:15486203
NCU00088	01.20	 GO:0019748	PMID:15486203
NCU00088	70.03	 GO:0005737	PMID:15486203
NCU00090	11.02.03.04	 GO:0045449	PMID:15486203
NCU00090	16.03.01	 GO:0003677	PMID:15486203
NCU00090	34.11.03.11	 GO:0009268	PMID:15486203
NCU00095	34.01.01.01	 GO:0006875	PMID:15486203
NCU00104	14.13	 GO:0030163	PMID:15486203
NCU00104	16.19.03	 GO:0005524	PMID:15486203
NCU00104	32.01.05	 GO:0009408	PMID:15486203
NCU00105	12.01	 GO:0007046	PMID:15486203
NCU00105	70.03	 GO:0005737	PMID:15486203
NCU00105	70.10	 GO:0005634	PMID:15486203
NCU00106	01.01.03.03.01	 GO:0006561	PMID:15486203
NCU00106	70.03	 GO:0005737	PMID:15486203
NCU00116	11.02.03.04	 GO:0045449	PMID:15486203
NCU00116	16.03.01	 GO:0003677	PMID:15486203
NCU00116	70.10	 GO:0005634	PMID:15486203
NCU00117	20.09.07	 GO:0016192	PMID:15486203
NCU00117	20.09.16	 GO:0046903	PMID:15486203
NCU00118	10.03.02	 GO:0007126	PMID:15486203
NCU00122	14.13	 GO:0030163	PMID:15486203
NCU00122	70.03	 GO:0005737	PMID:15486203
NCU00129	01.06	 GO:0006629	PMID:15486203
NCU00130	01.05.02.07	 GO:0009313	PMID:15486203
NCU00130	01.05.03	 GO:0000272	PMID:15486203
NCU00133	10.01.03	 GO:0006260	PMID:15486203
NCU00133	10.01.09.05	 GO:0006265	PMID:15486203
NCU00133	16.01	 GO:0005515	PMID:15486203
NCU00133	70.10	 GO:0005634	PMID:15486203
NCU00135	01.06	 GO:0006629	PMID:15486203
NCU00135	70.16	 GO:0005739	PMID:15486203
NCU00136	12.07	 GO:0006445	PMID:15486203
NCU00136	70.16	 GO:0005739	PMID:15486203
NCU00137	10.01.03	 GO:0006260	PMID:15486203
NCU00137	10.01.05	 GO:0006281	PMID:15486203
NCU00137	16.03.01	 GO:0003677	PMID:15486203
NCU00138	34.11.03.07	 GO:0019236	PMID:15486203
NCU00145	42.10.03	 GO:0051276	PMID:15486203
NCU00145	70.10.03	 GO:0005694	PMID:15486203
NCU00150	01.01.09.07.01	 GO:0000105	PMID:15486203
NCU00152	70.01	 GO:0005618	PMID:15486203
NCU00154	14.13	 GO:0030163	PMID:15486203
NCU00158	02.45.20	 GO:0043467	PMID:15486203
NCU00158	11.04.03.01	 GO:0008380	PMID:15486203
NCU00158	16.03.03	 GO:0003723	PMID:15486203
NCU00158	34.01.01.01	 GO:0006875	PMID:15486203
NCU00163	01.05	 GO:0005975	PMID:15486203
NCU00163	14.07.02	 GO:0006486	PMID:15486203
NCU00168	01.06	 GO:0006629	PMID:15486203
NCU00169	14.04	 GO:0006605	PMID:15486203
NCU00170	14.01	 GO:0006457	PMID:15486203
NCU00173	01.06	 GO:0006629	PMID:15486203
NCU00177	01.03.01	 GO:0006163	PMID:15486203
NCU00177	70.03	 GO:0005737	PMID:15486203
NCU00181	14.01	 GO:0006457	PMID:15486203
NCU00187	01.05	 GO:0005975	PMID:15486203
NCU00187	01.20	 GO:0019748	PMID:15486203
NCU00188	14.07.03	 GO:0006468	PMID:15486203
NCU00188	30.01	 GO:0007242	PMID:15486203
NCU00193	01.06	 GO:0006629	PMID:15486203
NCU00193	42.01	 GO:0007047	PMID:15486203
NCU00193	70.07	 GO:0005783	PMID:15486203
NCU00194	01.01	 GO:0006520	PMID:15486203
NCU00195	20.01.25	 GO:0051181	PMID:15486203
NCU00196	14.10	 GO:0006461	PMID:15486203
NCU00196	18.02.01.01.01	 GO:0043547	PMID:15486203
NCU00196	30.01.05.05	 GO:0007186	PMID:15486203
NCU00196	42.04.03	 GO:0030036	PMID:15486203
NCU00198	14.04	 GO:0006605	PMID:15486203
NCU00198	16.01	 GO:0005515	PMID:15486203
NCU00198	20.09.04	 GO:0006839	PMID:15486203
NCU00198	70.16	 GO:0005739	PMID:15486203
NCU00199	20.09.01	 GO:0051169	PMID:15486203
NCU00199	70.10	 GO:0005634	PMID:15486203
NCU00200	01.01.09.06.01	 GO:0000162	PMID:15486203
NCU00200	70.03	 GO:0005737	PMID:15486203
NCU00202	42.04.03	 GO:0030036	PMID:15486203
NCU00202	70.04	 GO:0005856	PMID:15486203
NCU00203	10.01.09.05	 GO:0006265	PMID:15486203
NCU00203	11.02.03.04	 GO:0045449	PMID:15486203
NCU00203	14.07	 GO:0006464	PMID:15486203
NCU00205	10.03.01	 GO:0000074	PMID:15486203
NCU00205	10.03.03	 GO:0000910	PMID:15486203
NCU00205	70.10	 GO:0005634	PMID:15486203
NCU00211	70.16	 GO:0005739	PMID:15486203
NCU00212	11.02.03.04	 GO:0045449	PMID:15486203
NCU00212	70.10.03	 GO:0005694	PMID:15486203
NCU00216	02.13	 GO:0045333	PMID:15486203
NCU00216	20.01.15	 GO:0006818	PMID:15486203
NCU00220	11.02.03.04.03	 GO:0016564	PMID:15486203
NCU00220	70.10	 GO:0005634	PMID:15486203
NCU00225	01.05.25	 GO:0043609	PMID:15486203
NCU00227	20.01.03	 GO:0008643	PMID:15486203
NCU00227	70.16	 GO:0005739	PMID:15486203
NCU00232	16.19	 GO:0000166	PMID:15486203
NCU00242	14.04	 GO:0006605	PMID:15486203
NCU00242	20.09.13	 GO:0007034	PMID:15486203
NCU00243	10.03.05.01	 GO:0007098	PMID:15486203
NCU00243	42.04.05	 GO:0000226	PMID:15486203
NCU00243	70.04.05	 GO:0015630	PMID:15486203
NCU00244	01.05.03	 GO:0000272	PMID:15486203
NCU00257	42.04.05	 GO:0000226	PMID:15486203
NCU00258	70.03	 GO:0005737	PMID:15486203
NCU00260	01.05	 GO:0005975	PMID:15486203
NCU00260	02.16.01	 GO:0043458	PMID:15486203
NCU00263	14.13	 GO:0030163	PMID:15486203
NCU00269	10.01.09.05	 GO:0006265	PMID:15486203
NCU00269	11.02.03.04.03	 GO:0016564	PMID:15486203
NCU00269	14.07.09	 GO:0018126	PMID:15486203
NCU00269	70.10	 GO:0005634	PMID:15486203
NCU00273	20.09.01	 GO:0051169	PMID:15486203
NCU00273	42.10.05	 GO:0006998	PMID:15486203
NCU00273	70.10.05	 GO:0005635	PMID:15486203
NCU00276	10.01.03	 GO:0006260	PMID:15486203
NCU00276	16.03.01	 GO:0003677	PMID:15486203
NCU00276	70.16	 GO:0005739	PMID:15486203
NCU00281	01.06	 GO:0006629	PMID:15486203
NCU00281	01.06.02.02	 GO:0009247	PMID:15486203
NCU00292	01.06	 GO:0006629	PMID:15486203
NCU00294	70.03	 GO:0005737	PMID:15486203
NCU00298	20.01.03	 GO:0008643	PMID:15486203
NCU00299	01.06	 GO:0006629	PMID:15486203
NCU00299	02.25	 GO:0019395	PMID:15486203
NCU00301	11.02.03.04	 GO:0045449	PMID:15486203
NCU00301	70.10	 GO:0005634	PMID:15486203
NCU00302	01.06	 GO:0006629	PMID:15486203
NCU00303	11.02.03.04	 GO:0045449	PMID:15486203
NCU00310	11.02.02	 GO:0009304	PMID:15486203
NCU00315	70.03	 GO:0005737	PMID:15486203
NCU00316	01.06	 GO:0006629	PMID:15486203
NCU00316	02.25	 GO:0019395	PMID:15486203
NCU00316	20.01.17	 GO:0006862	PMID:15486203
NCU00316	70.19	 GO:0005777	PMID:15486203
NCU00324	30.01.05.01.03	 GO:0000165	PMID:15486203
NCU00324	32.01	 GO:0006950	PMID:15486203
NCU00326	40.20	 GO:0007569	PMID:15486203
NCU00333	14.07	 GO:0006464	PMID:15486203
NCU00333	16.19.05	 GO:0005525	PMID:15486203
NCU00333	20.09.07	 GO:0016192	PMID:15486203
NCU00334	11.04.01	 GO:0006364	PMID:15486203
NCU00338	14.13	 GO:0030163	PMID:15486203
NCU00340	11.02.03.04	 GO:0045449	PMID:15486203
NCU00346	70.07	 GO:0005783	PMID:15486203
NCU00350	01.05	 GO:0005975	PMID:15486203
NCU00352	20.01.01.01	 GO:0006812	PMID:15486203
NCU00352	20.03.22	 GO:0042626	PMID:15486203
NCU00352	20.09.07	 GO:0016192	PMID:15486203
NCU00352	70.08	 GO:0005794	PMID:15486203
NCU00355	32.01	 GO:0006950	PMID:15486203
NCU00355	32.07.07.01	 GO:0004096	PMID:15486203
NCU00371	14.04	 GO:0006605	PMID:15486203
NCU00371	20.09.04	 GO:0006839	PMID:15486203
NCU00371	70.16	 GO:0005739	PMID:15486203
NCU00376	16.01	 GO:0005515	PMID:15486203
NCU00376	16.19.05	 GO:0005525	PMID:15486203
NCU00378	01.05	 GO:0005975	PMID:15486203
NCU00385	02.45.15	 GO:0006091	PMID:15486203
NCU00385	20.03.22	 GO:0042626	PMID:15486203
NCU00385	20.09.04	 GO:0006839	PMID:15486203
NCU00385	34.01.01.03	 GO:0030641	PMID:15486203
NCU00385	70.16	 GO:0005739	PMID:15486203
NCU00389	16.19.05	 GO:0005525	PMID:15486203
NCU00395	12.07	 GO:0006445	PMID:15486203
NCU00405	12.10	 GO:0004812	PMID:15486203
NCU00405	70.03	 GO:0005737	PMID:15486203
NCU00406	14.07.03	 GO:0006468	PMID:15486203
NCU00406	30.01	 GO:0007242	PMID:15486203
NCU00410	12.04.03	 GO:0006415	PMID:15486203
NCU00410	70.03	 GO:0005737	PMID:15486203
NCU00413	70.03	 GO:0005737	PMID:15486203
NCU00418	70.16	 GO:0005739	PMID:15486203
NCU00419	11.02.01	 GO:0009303	PMID:15486203
NCU00419	11.02.02	 GO:0009304	PMID:15486203
NCU00419	70.10	 GO:0005634	PMID:15486203
NCU00421	11.02.03.04	 GO:0045449	PMID:15486203
