geneid	funcatid	gotermid	pubmedid
NCU00007	70.02	NA	PMID:15486203
NCU00010	16.17.09	NA	PMID:15486203
NCU00010	20.01.01.01.01	NA	PMID:15486203
NCU00010	20.03.25	NA	PMID:15486203
NCU00010	32.05.01.03.03	NA	PMID:15486203
NCU00010	32.07.05	NA	PMID:15486203
NCU00023	16.17.09	NA	PMID:15486203
NCU00023	20.01.01.01.01	NA	PMID:15486203
NCU00023	20.09.18	NA	PMID:15486203
NCU00023	70.02	NA	PMID:15486203
NCU00032	20.09.03	NA	PMID:15486203
NCU00041	30.01.05.05.03	NA	PMID:15486203
NCU00077	10.01.02	NA	PMID:15486203
NCU00081	10.01.02	NA	PMID:15486203
NCU00114	12.01.01	NA	PMID:15486203
NCU00152	43.01.03.05	NA	PMID:15486203
NCU00157	30.01.05	NA	PMID:15486203
NCU00169	70	NA	PMID:15486203
NCU00195	20.09.18.07	NA	PMID:15486203
NCU00195	70.02	NA	PMID:15486203
NCU00211	12.01.01	NA	PMID:15486203
NCU00246	32.05.05	NA	PMID:15486203
NCU00246	70.02	NA	PMID:15486203
NCU00249	14.13.01	NA	PMID:15486203
NCU00258	12.01.01	NA	PMID:15486203
NCU00273	20.03.01.05	NA	PMID:15486203
NCU00281	32.05.05	NA	PMID:15486203
NCU00294	12.01.01	NA	PMID:15486203
NCU00298	20.09.18	NA	PMID:15486203
NCU00298	70.02	NA	PMID:15486203
NCU00315	12.01.01	NA	PMID:15486203
NCU00338	32.05.05	NA	PMID:15486203
NCU00346	16.13	NA	PMID:15486203
NCU00350	32.07.03	NA	PMID:15486203
NCU00371	20.03	NA	PMID:15486203
NCU00413	12.01.01	NA	PMID:15486203
NCU00417	43.01.03	NA	PMID:15486203
NCU00418	02.11	NA	PMID:15486203
NCU00431	20.03	NA	PMID:15486203
NCU00440	30.01.05.05.03	NA	PMID:15486203
NCU00455	32.05.05	NA	PMID:15486203
NCU00464	12.01.01	NA	PMID:15486203
NCU00467	41.01	NA	PMID:15486203
NCU00475	12.01.01	NA	PMID:15486203
NCU00484	02.11	NA	PMID:15486203
NCU00489	12.01.01	NA	PMID:15486203
NCU00493	42.09	NA	PMID:15486203
NCU00556	43.01.03.05	NA	PMID:15486203
NCU00564	12.01.01	NA	PMID:15486203
NCU00572	32.05	NA	PMID:15486203
NCU00600	43.01.03.05	NA	PMID:15486203
NCU00618	12.01.01	NA	PMID:15486203
NCU00634	12.01.01	NA	PMID:15486203
NCU00692	32.05.01	NA	PMID:15486203
NCU00700	32.05	NA	PMID:15486203
NCU00700	70.02	NA	PMID:15486203
NCU00701	32.05.03	NA	PMID:15486203
NCU00701	42.27	NA	PMID:15486203
NCU00706	12.01.01	NA	PMID:15486203
NCU00711	32.05.01	NA	PMID:15486203
NCU00711	32.07.05	NA	PMID:15486203
NCU00721	20.09.18.07	NA	PMID:15486203
NCU00721	70.02	NA	PMID:15486203
NCU00728	32.07.05	NA	PMID:15486203
NCU00751	01.20.37	NA	PMID:15486203
NCU00754	32.07.05	NA	PMID:15486203
NCU00755	32.07.05	NA	PMID:15486203
NCU00758	20.03	NA	PMID:15486203
NCU00762	32.10.07	NA	PMID:15486203
NCU00765	20.03	NA	PMID:15486203
NCU00782	20.03	NA	PMID:15486203
NCU00782	20.09.18	NA	PMID:15486203
NCU00782	70.02	NA	PMID:15486203
NCU00788	32.05.01	NA	PMID:15486203
NCU00790	20.03	NA	PMID:15486203
NCU00790	20.09.18	NA	PMID:15486203
NCU00794	43.01.03	NA	PMID:15486203
NCU00801	20.09.18.07	NA	PMID:15486203
NCU00801	70.02	NA	PMID:15486203
NCU00809	20.09.18.07	NA	PMID:15486203
NCU00809	70.02	NA	PMID:15486203
NCU00823	32.05.01	NA	PMID:15486203
NCU00860	20.01.01.01.01	NA	PMID:15486203
NCU00865	32.05	NA	PMID:15486203
NCU00876	20.09.18	NA	PMID:15486203
NCU00879	30.01.05	NA	PMID:15486203
NCU00891	16.17.09	NA	PMID:15486203
NCU00895	20.09.18	NA	PMID:15486203
NCU00952	12.01.01	NA	PMID:15486203
NCU00954	12.01.01	NA	PMID:15486203
NCU00969	02.11	NA	PMID:15486203
NCU00971	12.01.01	NA	PMID:15486203
NCU00973	32.05.05	NA	PMID:15486203
NCU00974	32.07.03	NA	PMID:15486203
NCU00977	12.01.01	NA	PMID:15486203
NCU00979	12.01.01	NA	PMID:15486203
NCU00987	32.05.03	NA	PMID:15486203
NCU00987	32.07	NA	PMID:15486203
NCU00987	32.07.01	NA	PMID:15486203
NCU00994	01.25.03	NA	PMID:15486203
NCU01009	20.03	NA	PMID:15486203
NCU01014	32.05	NA	PMID:15486203
NCU01065	20.03	NA	PMID:15486203
NCU01083	01.20.23	NA	PMID:15486203
NCU01100	43.01.03	NA	PMID:15486203
NCU01100	43.01.03.05	NA	PMID:15486203
NCU01132	20.03	NA	PMID:15486203
NCU01142	20.03	NA	PMID:15486203
NCU01166	43.01.03	NA	PMID:15486203
NCU01166	43.01.03.05	NA	PMID:15486203
NCU01169	02.11	NA	PMID:15486203
NCU01169	20.03	NA	PMID:15486203
NCU01213	32.07	NA	PMID:15486203
NCU01219	32.07	NA	PMID:15486203
NCU01272	16.17.09	NA	PMID:15486203
NCU01282	43.01.03	NA	PMID:15486203
NCU01282	43.01.03.09	NA	PMID:15486203
NCU01294	14.13.01	NA	PMID:15486203
NCU01370	43.01.03	NA	PMID:15486203
NCU01381	32.05.01	NA	PMID:15486203
NCU01399	01.20.01.05	NA	PMID:15486203
NCU01408	30.01.05	NA	PMID:15486203
NCU01411	20.03	NA	PMID:15486203
NCU01411	32.07	NA	PMID:15486203
NCU01414	43.01.03	NA	PMID:15486203
NCU01414	43.01.03.09	NA	PMID:15486203
NCU01418	43.01.03	NA	PMID:15486203
NCU01418	43.01.03.09	NA	PMID:15486203
NCU01439	02.45	NA	PMID:15486203
NCU01452	12.01.01	NA	PMID:15486203
NCU01467	02.11	NA	PMID:15486203
NCU01473	12.01.01	NA	PMID:15486203
NCU01474	12.01.01	NA	PMID:15486203
NCU01494	20.09.18.07	NA	PMID:15486203
NCU01498	43.01.03	NA	PMID:15486203
NCU01498	43.01.03.09	NA	PMID:15486203
NCU01514	20.03	NA	PMID:15486203
NCU01540	20.03	NA	PMID:15486203
NCU01564	20.03	NA	PMID:15486203
NCU01592	43.01.03	NA	PMID:15486203
NCU01593	43.01.03	NA	PMID:15486203
NCU01606	02.11	NA	PMID:15486203
NCU01636	32.07	NA	PMID:15486203
NCU01657	02.11.05	NA	PMID:15486203
NCU01673	43.01.03	NA	PMID:15486203
NCU01673	70.02	NA	PMID:15486203
