geneid	evidencecode	pubmedid	publication	termid	termname	termnamespace
NCU04294	IDA	18202398	N. Bardiya, WG. Alexander, TD. Perdue, EG. Barry, RL. Metzenberg, PJ. Pukkila, PK. Shiu. Characterization of interactions between and among components of the meiotic silencing by unpaired DNA machinery in Neurospora crassa using bimolecular fluorescence complementation.	GO:0005737	cytoplasm	C
NCU04294	IEP	16461906	PK. Shiu, D. Zickler, NB. Raju, G. Ruprich-Robert, RL. Metzenberg. SAD-2 is required for meiotic silencing by unpaired DNA and perinuclear localization of SAD-1 RNA-directed RNA polymerase.	GO:0048471	perinuclear region of cytoplasm	C
NCU04294	IMP	16461906	PK. Shiu, D. Zickler, NB. Raju, G. Ruprich-Robert, RL. Metzenberg. SAD-2 is required for meiotic silencing by unpaired DNA and perinuclear localization of SAD-1 RNA-directed RNA polymerase.	GO:0000239	pachytene	P
NCU04294	IMP	16461906	PK. Shiu, D. Zickler, NB. Raju, G. Ruprich-Robert, RL. Metzenberg. SAD-2 is required for meiotic silencing by unpaired DNA and perinuclear localization of SAD-1 RNA-directed RNA polymerase.	GO:0007128	meiotic prophase I	P
NCU04294	IMP	16461906	PK. Shiu, D. Zickler, NB. Raju, G. Ruprich-Robert, RL. Metzenberg. SAD-2 is required for meiotic silencing by unpaired DNA and perinuclear localization of SAD-1 RNA-directed RNA polymerase.	GO:0016458	gene silencing	P
NCU04294	IMP	16461906	PK. Shiu, D. Zickler, NB. Raju, G. Ruprich-Robert, RL. Metzenberg. SAD-2 is required for meiotic silencing by unpaired DNA and perinuclear localization of SAD-1 RNA-directed RNA polymerase.	GO:0048622	reproductive sporulation	P
NCU06660	IEP	12180913	ZA. Lewis, A. Correa, C. Schwerdtfeger, KL. Link, X. Xie, RH. Gomer, T. Thomas, DJ. Ebbole, D. Bell-Pedersen. Overexpression of White Collar-1 (WC-1) activates circadian clock-associated genes, but is not sufficient to induce most light-regulated gene expression in Neurospora crassa.	GO:0009416	response to light stimulus	P
NCU04275	IEP	11129042	Y. Sakuraba, AL. Schroeder, C. Ishii, H. Inoue. A Neurospora double-strand-break repair gene, mus-11, encodes a RAD52 homologue and is inducible by mutagens.	GO:0009411	response to UV	P
NCU04275	IMP	11129042	Y. Sakuraba, AL. Schroeder, C. Ishii, H. Inoue. A Neurospora double-strand-break repair gene, mus-11, encodes a RAD52 homologue and is inducible by mutagens.	GO:0006281	DNA repair	P
NCU04275	IMP	11129042	Y. Sakuraba, AL. Schroeder, C. Ishii, H. Inoue. A Neurospora double-strand-break repair gene, mus-11, encodes a RAD52 homologue and is inducible by mutagens.	GO:0030437	ascospore formation	P
NCU08552	IC	16451194	X. Gan, K. Arita, S. Isono, M. Kitakawa, K. Yoshino, K. Yonezawa, A. Kato, H. Inoue, K. Isono. Identification and comparative analysis of the large subunit mitochondrial ribosomal proteins of Neurospora crassa.	GO:0006412	translation	P
NCU08552	ISS	16451194	X. Gan, K. Arita, S. Isono, M. Kitakawa, K. Yoshino, K. Yonezawa, A. Kato, H. Inoue, K. Isono. Identification and comparative analysis of the large subunit mitochondrial ribosomal proteins of Neurospora crassa.	GO:0003735	structural constituent of ribosome	F
NCU08552	ISS	16451194	X. Gan, K. Arita, S. Isono, M. Kitakawa, K. Yoshino, K. Yonezawa, A. Kato, H. Inoue, K. Isono. Identification and comparative analysis of the large subunit mitochondrial ribosomal proteins of Neurospora crassa.	GO:0005762	mitochondrial large ribosomal subunit	C
NCU06205	IDA	20709620	M. Olmedo, L. Navarro-Sampedro, C. Ruger-Herreros, SR. Kim, BK. Jeong, BU. Lee, LM. Corrochano. A role in the regulation of transcription by light for RCO-1 and RCM-1, the Neurospora homologs of the yeast Tup1-Ssn6 repressor.	GO:0005634	nucleus	C
NCU06205	IMP	8887652	CT. Yamashiro, DJ. Ebbole, BU. Lee, RE. Brown, C. Bourland, L. Madi, C. Yanofsky. Characterization of rco-1 of Neurospora crassa, a pleiotropic gene affecting growth and development that encodes a homolog of Tup1 of Saccharomyces cerevisiae.	GO:0000905	sporocarp development involved in asexual reproduction	P
NCU06205	IMP	8887652	CT. Yamashiro, DJ. Ebbole, BU. Lee, RE. Brown, C. Bourland, L. Madi, C. Yanofsky. Characterization of rco-1 of Neurospora crassa, a pleiotropic gene affecting growth and development that encodes a homolog of Tup1 of Saccharomyces cerevisiae.	GO:0000909	sporocarp development involved in sexual reproduction	P
NCU06205	IMP	8887652	CT. Yamashiro, DJ. Ebbole, BU. Lee, RE. Brown, C. Bourland, L. Madi, C. Yanofsky. Characterization of rco-1 of Neurospora crassa, a pleiotropic gene affecting growth and development that encodes a homolog of Tup1 of Saccharomyces cerevisiae.	GO:0030448	hyphal growth	P
NCU06205	IMP	8887652	CT. Yamashiro, DJ. Ebbole, BU. Lee, RE. Brown, C. Bourland, L. Madi, C. Yanofsky. Characterization of rco-1 of Neurospora crassa, a pleiotropic gene affecting growth and development that encodes a homolog of Tup1 of Saccharomyces cerevisiae.	GO:0048315	conidium formation	P
NCU06205	IMP	20709620	M. Olmedo, L. Navarro-Sampedro, C. Ruger-Herreros, SR. Kim, BK. Jeong, BU. Lee, LM. Corrochano. A role in the regulation of transcription by light for RCO-1 and RCM-1, the Neurospora homologs of the yeast Tup1-Ssn6 repressor.	GO:0017053	transcriptional repressor complex	C
NCU06205	IMP	20709620	M. Olmedo, L. Navarro-Sampedro, C. Ruger-Herreros, SR. Kim, BK. Jeong, BU. Lee, LM. Corrochano. A role in the regulation of transcription by light for RCO-1 and RCM-1, the Neurospora homologs of the yeast Tup1-Ssn6 repressor.	GO:0032583	regulation of gene-specific transcription	P
NCU06205	IMP	20522492	MS. Aldabbous, MG. Roca, A. Stout, IC. Huang, ND. Read, SJ. Free. The ham-5, rcm-1 and rco-1 genes regulate hyphal fusion in Neurospora crassa.	GO:0000768	syncytium formation by plasma membrane fusion	P
NCU06205	IMP	21768394	RD. Gon?alves, FB. Cupertino, FZ. Freitas, AD. Luchessi, MC. Bertolini. A genome-wide screen for Neurospora crassa transcription factors regulating glycogen metabolism.	GO:0070873	regulation of glycogen metabolic process	P
