geneid	pubmedid	publication	annotationmethod	annotationsource
NCU07202	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU09689	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU04294	17322355	DD. Perkins, M. Freitag, VC. Pollard, LA. Bailey-Shrode, EU. Selker, DJ. Ebbole. Recurrent locus-specific mutation resulting from a cryptic ectopic insertion in Neurospora.	Manual	Broad_CAP
NCU04294	18036854	WG. Alexander, NB. Raju, H. Xiao, TM. Hammond, TD. Perdue, RL. Metzenberg, PJ. Pukkila, PK. Shiu. DCL-1 colocalizes with other components of the MSUD machinery and is required for silencing.	Manual	Broad_CAP
NCU06660	14597725	A. Correa, ZA. Lewis, AV. Greene, IJ. March, RH. Gomer, D. Bell-Pedersen. Multiple oscillators regulate circadian gene expression in Neurospora.	Manual	Broad_CAP
NCU06660	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU07218	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU08964	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU04275	17003123	K. Ishibashi, K. Suzuki, Y. Ando, C. Takakura, H. Inoue. Nonhomologous chromosomal integration of foreign DNA is completely dependent on MUS-53 (human Lig4 homolog) in Neurospora.	Manual	Broad_CAP
NCU04275	19444217	HC. Lee, SS. Chang, S. Choudhary, AP. Aalto, M. Maiti, DH. Bamford, Y. Liu. qiRNA is a new type of small interfering RNA induced by DNA damage.	Manual	Broad_CAP
NCU04275	2463486	Kafer, E. and D. Luk.  Sensitivity to bleomycin and hydrogen peroxide of DNA repair-defective mutants in Neurospora crassa.	Manual	Broad_CAP
NCU04275	3442821	Schroeder, A. L.. Chromosome instability in mutagen sensitive mutants of Neurospora.	Manual	Broad_CAP
NCU04275	6451802	Kafer, E..  Mutagen sensitivities and mutator effects of MMS-sensitive mutants in Neurospora.	Manual	Broad_CAP
NCU04275	7237231	Kafer, E. and E. Perlmutter.  Isolation and genetic analysis of MMS-sensitive mus mutants of Neurospora.	Manual	Broad_CAP
NCU04275	9738881	Foss, H. M., C. J. Roberts, and E. U. Selker. Mutations in the dim-1 gene of Neurospora crassa reduce the level of DNA methylation. 	Manual	Broad_CAP
NCU03746	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU08195	17449655	C. Tian, T. Kasuga, MS. Sachs, NL. Glass. Transcriptional Profiling of Cross Pathway Control in Neurospora crassa and Comparative Analysis of the Gcn4 and CPC1 Regulons.	Manual	Broad_CAP
NCU08195	19230635	DE. Gras, HC. Silveira, NT. Peres, PR. Sanches, NM. Martinez-Rossi, A. Rossi. Transcriptional changes in the nuc-2A mutant strain of Neurospora crassa cultivated under conditions of phosphate shortage.	Manual	Broad_CAP
NCU08195	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU06205	12139624	P. Bobrowicz, R. Pawlak, A. Correa, D. Bell-Pedersen, DJ. Ebbole. The Neurospora crassa pheromone precursor genes are regulated by the mating type locus and the circadian clock.	Manual	Broad_CAP
NCU06205	18586951	S. Thompson, NJ. Croft, A. Sotiriou, HD. Piggins, SK. Crosthwaite. Neurospora crassa heat shock factor 1 Is an essential gene; a second heat shock factor-like gene, hsf2, is required for asexual spore formation.	Manual	Broad_CAP
NCU06205	19800017	S. Brody, K. Oelhafen, K. Schneider, S. Perrino, A. Goetz, C. Wang, C. English. Circadian rhythms in Neurospora crassa: Downstream effectors.	Manual	Broad_CAP
NCU06205	9680957	Lee, K. and D. J. Ebbole. Tissue-specific repression of starvation and stress responses of the Neurospora crassa con-10 gene is mediated by RCO1.	Manual	Broad_CAP
NCU06205	9680960	FR. Lauter, U. Marchfelder, VE. Russo, CT. Yamashiro, E. Yatzkan, O. Yarden. Photoregulation of cot-1, a kinase-encoding gene involved in hyphal growth in Neurospora crassa.	Manual	Broad_CAP
NCU06438	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU06405	18676954	T. Kasuga, NL. Glass. Dissecting colony development of Neurospora crassa using mRNA profiling and comparative genomics approaches.	Manual	Broad_CAP
NCU08763	20018766	C. Tian, WT. Beeson, AT. Iavarone, J. Sun, MA. Marletta, JH. Cate, NL. Glass. Systems analysis of plant cell wall degradation by the model filamentous fungus Neurospora crassa.	Manual	Broad_CAP
NCU00347	19520721	A. Videira, T. Kasuga, C. Tian, C. Lemos, A. Castro, NL. Glass. Transcriptional analysis of the response of Neurospora crassa to phytosphingosine reveals links to mitochondrial function.	Manual	Broad_CAP
NCU00145	11901114	Hays S M, Swanson J and Selker E U. Identification and characterization of the genes encoding the core histones and histone variants of Neurospora crassa.	Manual	Broad_CAP
NCU00145	15007097	KA. Borkovich, LA. Alex, O. Yarden, M. Freitag, GE. Turner, ND. Read, S. Seiler, D. Bell-Pedersen, J. Paietta, N. Plesofsky, M. Plamann, M. Goodrich-Tanrikulu, U. Schulte, G. Mannhaupt, FE. Nargang, A. Radford, C. Selitrennikoff, JE. Galagan, JC. Dunlap, JJ. Loros, D. Catcheside, H. Inoue, R. Aramayo, M. Polymenis, EU. Selker, MS. Sachs, GA. Marzluf, I. Paulsen, R. Davis, DJ. Ebbole, A. Zelter, ER. Kalkman, R. O'Rourke, F. Bowring, J. Yeadon, C. Ishii, K. Suzuki, W. Sakai, R. Pratt. Lessons from the genome sequence of Neurospora crassa: tracing the path from genomic blueprint to multicellular organism.	Manual	Broad_CAP
NCU00409	144721	Jensen, R. A., L. Zamir, M. Saint Pierre, N. Patel and D. L. Pierson. Isolation and preparation of pretyrosine, accumulated as a dead-end metabolite by Neurospora crassa	Manual	Broad_CAP
NCU00409	5384488	el-Eryani, A.A..  Genetic control of phenylalanine and tyrosine biosynthesis in Neurospora crassa.	Manual	Broad_CAP
