geneid	pubmedid	publication	annotationmethod	annotationsource
NCU09539	None	Radford A.  The ribosomes of Neurospora crassa. 	Manual	Broad_CAP_NC12_7
NCU09539	None	Radford, A.. Unpublished	Manual	Broad_CAP_NC12_7
NCU10311	None	Radford A.  The ribosomes of Neurospora crassa. 	Manual	Broad_CAP_NC12_7
NCU10311	None	Radford, A.. Unpublished	Manual	Broad_CAP_NC12_7
NCU03116	None	[unspecified]	Manual	Broad_CAP_NC12_7
NCU09817	None	Courtright, J. B.. Growth of ropy mutants on glycerol and acetate.	Manual	Broad_CAP_NC12_7
NCU09817	None	Minke, P., J. Tinsley, H. Lee, and M. Plamann.. Analysis of Neurospora ropy genes encoding novel proteins required for normal hyphal growth and nuclear distribution.	Manual	Broad_CAP_NC12_7
NCU09817	None	Perkins, D. D. and M. Bj. Additional special purpose stocks	Manual	Broad_CAP_NC12_7
NCU03229	None	W Neupert.  Biogenesis of mitochondria: pathways and machineries involved in the import of proteins. 	Manual	Broad_CAP_NC12_7
NCU00413	None	Radford A.  The ribosomes of Neurospora crassa. 	Manual	Broad_CAP_NC12_7
NCU03092	None	[unspecified]	Manual	Broad_CAP_NC12_7
NCU09230	None	Reveal and Paietta. Molecular cloning and regulatory analysis of the cystathionine beta- and gamma-lyase genes of Neurospora crassa. 	Manual	Broad_CAP_NC12_7
NCU00489	None	Radford A.  The ribosomes of Neurospora crassa. 	Manual	Broad_CAP_NC12_7
NCU00489	None	Radford, A.. Unpublished	Manual	Broad_CAP_NC12_7
NCU02274	None	Cossins, E. A., and S. H. Y. Pang.. Loss of cytosolic serine hydroxymethyltransferase in a formate mutant of Neurospora crassa.	Manual	Broad_CAP_NC12_7
NCU02274	None	Harold, C. E., and M. Fling..  Two mutants of Neurospora crassa which utilize formate or formaldehyde for growth.	Manual	Broad_CAP_NC12_7
NCU02274	None	Kouzminova, E., and E. U. Selker..  A mistake in the published map of linkage group VII.	Manual	Broad_CAP_NC12_7
NCU02274	None	Newmeyer, D., V. C. Pollard and D. D. Perkins.. New supplements for the formate mutant of Neurospora. A possible role for ascorbic acid?	Manual	Broad_CAP_NC12_7
NCU02274	None	Perkins, D. D., C. W. Taylor, D. C. Bennett and B. C. Turner. New morphological mutants that have been localized to linkage group.	Manual	Broad_CAP_NC12_7
NCU02274	None	Perkins, D. D., M. Glassey and B. A. Bloom. New data on markers and rearrangements in Neurospora	Manual	Broad_CAP_NC12_7
