geneid	faoid	faotermname	pubmedid	evidencecode
NCU00076	FAO:0000008	ascocarp	20551436	IEP
NCU00076	FAO:0000011	mycelium	20551436	IEP
NCU00138	FAO:0000008	ascocarp	15186425	IEP
NCU00138	FAO:0000024	conidium	15186425	IEP
NCU00257	FAO:0000011	mycelium	9159520	IEP
NCU00257	FAO:0000024	conidium	9159520	IEP
NCU00355	FAO:0001001	hypha	19555771	IEP
NCU00355	FAO:0000024	conidium	2540152	IEP
NCU00552	FAO:0000011	mycelium	7750660	IEP
NCU00552	FAO:0000024	conidium	7750660	IEP
NCU00585	FAO:0000011	mycelium	7750660	IEP
NCU00585	FAO:0000024	conidium	7750660	IEP
NCU00586	FAO:0000024	conidium	19555771	IEP
NCU00716	FAO:0000024	conidium	19555771	IEP
NCU00716	FAO:0001001	hypha	19555771	IEP
NCU00786	FAO:0000007	fruitbody	16963633	IEP
NCU00957	FAO:0000024	conidium	19555771	IEP
NCU00957	FAO:0001001	hypha	19555771	IEP
NCU01353	FAO:0001001	hypha	19555771	IEP
NCU01414	FAO:0000008	ascocarp	8913744	IEP
NCU01414	FAO:0000011	mycelium	8913744	IEP
NCU01414	FAO:0000024	conidium	8913744	IEP
NCU01591	FAO:0000008	ascocarp	23502675	IEP
NCU01752	FAO:0001001	hypha	19555771	IEP
NCU01895	FAO:0000008	ascocarp	17392518	IEP
NCU01895	FAO:0000011	mycelium	17392518	IEP
NCU01895	FAO:0000024	conidium	17392518	IEP
NCU01958	FAO:0000008	ascocarp	9819054	IEP
NCU02041	FAO:0001001	hypha	19555771	IEP
NCU02110	FAO:0000008	ascocarp	18567788	IEP
NCU02178	FAO:0000014	ascus	12196394	IEP
NCU02184	FAO:0001001	hypha	19555771	IEP
NCU02460	FAO:0000008	ascocarp	14599895	IEP
NCU02460	FAO:0000011	mycelium	14599895	IEP
NCU02460	FAO:0000038	macroconidium	14599895	IEP
NCU02500	FAO:0000024	conidium	12139624	IEP
NCU02815	FAO:0000011	mycelium	8622950	IEP
NCU02948	FAO:0000024	conidium	19555771	IEP
NCU03013	FAO:0001001	hypha	19555771	IEP
NCU03276	FAO:0000011	mycelium	19238386	IEP
NCU03276	FAO:0000020	ascospore	19238386	IEP
NCU03276	FAO:0000038	macroconidium	19238386	IEP
NCU03407	FAO:0001014	aseptate hypha in mycelium	16278458	IMP
NCU03407	FAO:0000024	conidium	17496127	IEP
NCU03407	FAO:0001003	hypha in mycelium	17496127	IEP
NCU03530	FAO:0000024	conidium	19555771	IEP
NCU03530	FAO:0001001	hypha	19555771	IEP
NCU03725	FAO:0001001	hypha	17012538	IEP
NCU04202	FAO:0000007	fruitbody	16842360	IEP
NCU04202	FAO:0000011	mycelium	16842360	IEP
NCU04202	FAO:0000024	conidium	16842360	IEP
NCU04244	FAO:0000008	ascocarp	14599895	IEP
NCU04244	FAO:0000011	mycelium	14599895	IEP
NCU04244	FAO:0000038	macroconidium	14599895	IEP
NCU04251	FAO:0001001	hypha	17644657	IEP
NCU04251	FAO:0001011	hyphal tip	17644657	IEP
NCU04294	FAO:0000014	ascus	16461906	IEP
NCU04533	FAO:0000008	ascocarp	17092746	IEP
NCU04801	FAO:0000008	ascocarp	17374612	IEP
NCU04801	FAO:0000011	mycelium	17374612	IEP
NCU04801	FAO:0000024	conidium	17374612	IEP
NCU05137	FAO:0001001	hypha	19555771	IEP
NCU05268	FAO:0001001	hypha	17644657	IEP
NCU05268	FAO:0001011	hyphal tip	17644657	IEP
NCU05598	FAO:0000008	ascocarp	9178004	IEP
NCU05667	FAO:0000024	conidium	19555771	IEP
NCU05667	FAO:0001001	hypha	19555771	IEP
NCU05758	FAO:0000008	ascocarp	22298702	IEP
NCU05758	FAO:0000038	macroconidium	22298702	IEP
NCU05768	FAO:0000008	ascocarp	15879524	IEP
NCU06147	FAO:0000008	ascocarp	23502675	IEP
NCU06185	FAO:0001001	hypha	19555771	IEP
NCU06493	FAO:0000038	macroconidium	8325859	IEP
NCU06729	FAO:0000038	macroconidium	8325859	IEP
NCU06781	FAO:0000024	conidium	19555771	IEP
NCU07277	FAO:0001001	hypha	19555771	IEP
NCU07325	FAO:0000038	macroconidium	1386581	IEP
NCU07325	FAO:0000020	ascospore	1534304	IEP
NCU07325	FAO:0000028	microconidium	1534304	IEP
NCU07325	FAO:0000011	mycelium	8367490	IEP
NCU07776	FAO:0000024	conidium	19555771	IEP
NCU07776	FAO:0001001	hypha	19555771	IEP
NCU07817	FAO:0000024	conidium	19555771	IEP
NCU07817	FAO:0001001	hypha	19555771	IEP
NCU08332	FAO:0000011	mycelium	11273682	IEP
NCU08399	FAO:0000007	fruitbody	19277664	IMP
NCU08457	FAO:0000024	conidium	1459459	IEP
NCU08468	FAO:0000024	conidium	22291944	IEP
NCU08726	FAO:0000038	macroconidium	15126394	IEP
NCU08755	FAO:0000024	conidium	19555771	IEP
NCU08769	FAO:0000028	microconidium	1534304	IEP
NCU08769	FAO:0000038	macroconidium	1534304	IEP
NCU08769	FAO:0000011	mycelium	8367490	IEP
NCU08791	FAO:0000024	conidium	10401603	IEP
NCU08907	FAO:0000024	conidium	19555771	IEP
NCU08936	FAO:0000024	conidium	19555771	IEP
NCU08936	FAO:0001001	hypha	19555771	IEP
NCU09133	FAO:0001001	hypha	19555771	IEP
NCU09175	FAO:0001001	hypha	19555771	IEP
NCU09211	FAO:0000014	ascus	22384347	IEP
NCU09235	FAO:0000011	mycelium	1534304	IEP
NCU09235	FAO:0000020	ascospore	1534304	IEP
NCU09235	FAO:0000028	microconidium	1534304	IEP
NCU09235	FAO:0000038	macroconidium	1534304	IEP
NCU09326	FAO:0001001	hypha	19555771	IEP
NCU10055	FAO:0000024	conidium	10393943	IEP
NCU10775	FAO:0000024	conidium	18567788	IEP
NCU16337	FAO:0000008	ascocarp	12072568	IEP
NCU16992	FAO:0000008	ascocarp	12477799	IEP
NCU16992	FAO:0000024	conidium	12477799	IEP
