geneid	pubmedid	publication	annotationmethod	annotationsource
NCU00114	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU00211	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU00294	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU00315	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU00413	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU00464	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU00468	None	Baker, T. I.<br/><i>Phenylalanine-tyrosine biosynthesis in Neurospora crassa.</i>	Manual	Broad_CAP
NCU00468	None	Catcheside, D<br/><i>Prephenate dehydrogenase from Neurospora: feedback activation by phenylalanine</i>	Manual	Broad_CAP
NCU00468	None	Perkins, D. D., D. Newmeyer, C. W. Taylor and D. C. Bennett<br/><i>New markers and map sequences in Neurospora crassa, with a description of mapping by duplication coverage and of multiple translocation tocks for testing linkage</i>	Manual	Broad_CAP
NCU00475	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU00489	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU00489	None	Radford, A.<br/><i>Unpublished</i>	Manual	Broad_CAP
NCU00554	None	Jenkins, M. B., and H. R. Garner<br/><i>Studies of a homoserineless bradytroph of Neurospora crassa : demonstration of an altered aspartate beta-semialdehyde dehydrogenase</i>	Manual	Broad_CAP
NCU00618	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU00634	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU00706	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU00952	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU00971	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU00979	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU01023	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU01154	None	G Park<br/><i> Addition by subtraction: novel insights into Neurospora biology obtained by transcription factor knockouts. </i>	Manual	Broad_CAP
NCU01221	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU01317	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU01452	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU01473	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU01485	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU01552	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU01595	None	[unspecified]	Manual	Broad_CAP
NCU01650	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU01776	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU01800	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU01827	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU01948	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU01958	None	Griffiths, A. J. F.<br/><i>Null mutants of the A and a mating type alleles of Neurospora crassa /</i>	Manual	Broad_CAP
NCU01966	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU02181	None	Radford A<br/><i> The ribosomes of Neurospora crassa. </i>	Manual	Broad_CAP
NCU02274	None	Burton, E. G. and R. L. Metzenberg<br/><i>Regulation of methionine biosynthesis in Neurospora crassa.</i>	Manual	Broad_CAP
NCU02274	None	Cossins, E. A., and S. H. Y. Pang.<br/><i>Loss of cytosolic serine hydroxymethyltransferase in a formate mutant of Neurospora crassa.</i>	Manual	Broad_CAP
