funcatid	gotermid
01	 GO:0008152
01.01	 GO:0006520
01.01.03	 GO:0009064
01.01.03.01	 GO:0006541
01.01.03.01.01	 GO:0006542
01.01.03.01.02	 GO:0006543
01.01.03.02	 GO:0006536
01.01.03.02.01	 GO:0006537
01.01.03.02.02	 GO:0006538
01.01.03.03	 GO:0006560
01.01.03.03.01	 GO:0006561
01.01.03.03.02	 GO:0006562
01.01.03.04	 GO:0019471
01.01.03.04.01	 GO:0019472
01.01.03.04.02	 GO:0019470
01.01.03.05	 GO:0006525
01.01.03.05.01	 GO:0006526
01.01.03.05.02	 GO:0006527
01.01.05	 GO:0006595
01.01.05.01	 GO:0006595
01.01.05.01.01	 GO:0006596
01.01.05.01.02	 GO:0006598
01.01.05.02	 GO:0006600
01.01.05.02.01	 GO:0006601
01.01.05.02.02	 GO:0006602
01.01.05.03	 GO:0000050
01.01.06	 GO:0009066
01.01.06.01	 GO:0006531
01.01.06.01.01	 GO:0006532
01.01.06.01.02	 GO:0006533
01.01.06.02	 GO:0006528
01.01.06.02.01	 GO:0006529
01.01.06.02.02	 GO:0006530
01.01.06.04	 GO:0006566
01.01.06.04.01	 GO:0009088
01.01.06.04.02	 GO:0006567
01.01.06.05	 GO:0006555
01.01.06.05.01	 GO:0009086
01.01.06.05.01.01	 GO:0050667
01.01.06.05.01.02	 GO:0043418
01.01.06.05.02	 GO:0009087
01.01.06.06	 GO:0006553
01.01.06.06.01	 GO:0009085
01.01.06.06.01.01	 GO:0009089
01.01.06.06.01.03	 GO:0019878
01.01.06.06.02	 GO:0006554
01.01.09	 GO:0009072
01.01.09.01	 GO:0006544
01.01.09.01.01	 GO:0006545
01.01.09.01.02	 GO:0006546
01.01.09.02	 GO:0006563
01.01.09.02.01	 GO:0006564
01.01.09.02.02	 GO:0006565
01.01.09.03	 GO:0006534
01.01.09.03.01	 GO:0019344
01.01.09.03.02	 GO:0009093
01.01.09.04	 GO:0006558
01.01.09.04.01	 GO:0009094
01.01.09.04.02	 GO:0006559
01.01.09.05	 GO:0006570
01.01.09.05.01	 GO:0006571
01.01.09.05.02	 GO:0006572
01.01.09.06	 GO:0006568
01.01.09.06.01	 GO:0000162
01.01.09.06.02	 GO:0006569
01.01.09.07	 GO:0006547
01.01.09.07.01	 GO:0000105
01.01.09.07.02	 GO:0006548
01.01.11	 GO:0009078
01.01.11.01	 GO:0006522
01.01.11.01.01	 GO:0006523
01.01.11.01.02	 GO:0006524
01.01.11.02	 GO:0006549
01.01.11.02.01	 GO:0009097
01.01.11.02.02	 GO:0006550
01.01.11.03	 GO:0006573
01.01.11.03.01	 GO:0009099
01.01.11.03.02	 GO:0006574
01.01.11.04	 GO:0006551
01.01.11.04.01	 GO:0009098
01.01.11.04.02	 GO:0006552
01.01.11.06	 GO:0046436
01.01.11.07	 GO:0006563
01.01.13	 GO:0006521
01.02	 GO:0006807
01.02.02.01	 GO:0009399
01.02.02.02	 GO:0042128
01.02.02.03	 GO:0043602
01.02.02.05	 GO:0019329
01.02.02.06	 GO:0019676
01.02.02.07	 GO:0006809
01.02.02.09	 GO:0044270
01.02.02.09.01	 GO:0043419
01.02.02.09.03	 GO:0019628
01.02.02.09.05	 GO:0009440
01.02.02.09.06	 GO:0043421
01.02.02.09.07	 GO:0043608
01.02.02.09.08	 GO:0050899
01.02.03.01	 GO:0000103
01.02.03.03	 GO:0019421
01.02.03.05	 GO:0019417
01.02.07	 GO:0006792
01.02.07.01	 GO:0006808
01.02.07.03	 GO:0006792
01.03	 GO:0009117
01.03.01	 GO:0006163
01.03.01.01	 GO:0006195
01.03.01.01.01	 GO:0009114
01.03.01.01.03	 GO:0009115
01.03.01.03	 GO:0006164
01.03.04	 GO:0006220
01.03.04.01	 GO:0006244
01.03.04.03	 GO:0006221
01.03.07	 GO:0009262
01.03.10	 GO:0009187
01.03.13	 GO:0006140
01.03.16	 GO:0006308
01.03.16.01	 GO:0006401
01.03.16.03	 GO:0006308
01.04	 GO:0006796
01.04.04	 GO:0006795
01.05	 GO:0005975
01.05.02.07	 GO:0009313
01.05.03	 GO:0000272
01.05.06.07	 GO:0016054
01.05.09.07	 GO:0046348
01.05.05.07	 GO:0019754
01.05.05.07.01	 GO:0019496
01.05.05.07.03	 GO:0019647
01.05.11.07.01	 GO:0019439
01.05.11.07.01.01	 GO:0019615
01.05.11.07.01.03	 GO:0019616
01.05.11.07.02	 GO:0019439
01.05.03.01.04	 GO:0005978
01.05.03.02.04	 GO:0009252
01.05.03.03.04	 GO:0006031
01.05.03.04.04	 GO:0019252
01.05.09.04	 GO:0046349
01.05.05.04	 GO:0019753
01.05.11.04	 GO:0019438
01.05.12	 GO:0015977
01.05.12.01	 GO:0019253
01.05.12.03	 GO:0019643
01.05.12.05	 GO:0043427
01.05.12.07	 GO:0030634
01.05.25	 GO:0043609
01.06	 GO:0006629
01.06.02.01	 GO:0008654
01.06.02.02	 GO:0009247
01.06.05	 GO:0006633
01.06.06	 GO:0008299
01.06.06.01	 GO:0043612
01.06.06.03	 GO:0016099
01.06.06.05	 GO:0016106
01.06.06.07	 GO:0016101
01.06.06.09	 GO:0016104
01.06.06.11	 GO:0006694
01.06.06.13	 GO:0016109
01.06.06.15	 GO:0016112
01.06.10	 GO:0019216
01.07	 GO:0006732
01.07.01	 GO:0051188
01.07.03	 GO:0009111
01.07.07	 GO:0030656
01.20	 GO:0019748
01.20.01.07	 GO:0016138
01.20.01.09	 GO:0030648
01.20.05	 GO:0030636
01.20.05.01	 GO:0043441
01.20.05.03	 GO:0043447
01.20.05.07	 GO:0043453
01.20.05.09	 GO:0046456
01.20.05.11	 GO:0030639
01.20.15.01	 GO:0042371
01.20.15.03	 GO:0006744
01.20.17.01	 GO:0019795
01.20.17.03	 GO:0009309
01.20.17.05	 GO:0019756
01.20.17.07	 GO:0019758
01.20.17.09	 GO:0009821
01.20.19.01	 GO:0006779
01.20.19.05	 GO:0009236
01.20.35.01	 GO:0009699
01.20.35.01.01	 GO:0042438
01.20.35.01.03	 GO:0009809
01.20.35.01.05	 GO:0009811
01.20.35.01.07	 GO:0009805
01.20.35.01.09	 GO:0009800
01.20.35.03	 GO:0042423
01.20.36	 GO:0019184
01.20.37.01	 GO:0042964
01.20.37.03	 GO:0030651
01.20.37.05	 GO:0030654
01.20.70	 GO:0043455
02.01	 GO:0006096
02.01.01	 GO:0009438
02.01.03	 GO:0006110
02.04	 GO:0006097
02.05	 GO:0009255
02.07	 GO:0006098
02.07.01	 GO:0009051
02.07.03	 GO:0009052
02.07.05	 GO:0043456
02.08	 GO:0045254
02.10	 GO:0006099
02.13	 GO:0045333
02.13.01	 GO:0009061
02.13.03	 GO:0009060
02.13.05	 GO:0043457
02.16	 GO:0006113
02.16.01	 GO:0043458
02.16.03	 GO:0019659
02.16.03.01	 GO:0019661
02.16.03.03	 GO:0019656
02.16.03.05	 GO:0019658
02.16.03.07	 GO:0043464
02.16.05	 GO:0030645
02.16.07	 GO:0019672
02.16.09	 GO:0019664
02.16.11	 GO:0019652
02.16.11.01	 GO:0019652
02.16.11.03	 GO:0019657
02.16.13	 GO:0019654
02.16.15	 GO:0015948
02.16.17	 GO:0019666
02.16.17.01	 GO:0019665
02.16.17.03	 GO:0019668
02.16.17.05	 GO:0043466
02.16.20	 GO:0043465
02.17	 GO:0015975
02.19	 GO:0006112
02.25	 GO:0019395
02.30	 GO:0015979
02.30.10	 GO:0010109
02.45.01	 GO:0008218
02.45.03	 GO:0016037
02.45.07	 GO:0031649
02.45.11	 GO:0006928
02.45.15	 GO:0006091
02.45.20	 GO:0043467
10	 GO:0007049
10.01	 GO:0006259
10.01.01	 GO:0009290
10.01.01.01	 GO:0030420
10.01.01.03	 GO:0009291
10.01.03	 GO:0006260
10.01.03.03	 GO:0006267
10.01.03.05	 GO:0006271
10.01.05	 GO:0006281
10.01.05.01	 GO:0006281
10.01.05.03	 GO:0006310
10.01.05.03.01	 GO:0007131
10.01.05.03.03	 GO:0006312
10.01.05.03.05	 GO:0015074
10.01.09	 GO:0006304
10.01.09.01	 GO:0006306
10.01.09.03	 GO:0009307
10.01.09.05	 GO:0006265
10.01.09.07	 GO:0006349
10.01.11	 GO:0051052
10.03	 GO:0007049
10.03.01	 GO:0000074
10.03.01.01	 GO:0000278
10.03.01.01.01	 GO:0000080
10.03.01.01.03	 GO:0000082
10.03.01.01.05	 GO:0000084
10.03.01.01.07	 GO:0000085
10.03.01.01.09	 GO:0000086
10.03.01.01.11	 GO:0007067
10.03.01.01.13	 GO:0000216
10.03.01.02	 GO:0007050
10.03.01.03	 GO:0000075
10.03.02	 GO:0007126
10.03.02.01	 GO:0007127
10.03.02.03	 GO:0007135
10.03.03	 GO:0000910
10.03.04	 GO:0007059
10.03.04.01	 GO:0000069
10.03.04.03	 GO:0030261
10.03.04.05	 GO:0007059
10.03.04.06	 GO:0009048
10.03.04.07	 GO:0000280
10.03.04.09	 GO:0007097
10.03.05	 GO:0030037
10.03.05.01	 GO:0007098
10.03.05.03	 GO:0030037
11	 GO:0006350
11.02	 GO:0006351
11.02.01	 GO:0009303
11.02.02	 GO:0009304
11.02.03	 GO:0009299
11.02.03.01	 GO:0006350
11.02.03.01.01	 GO:0006352
11.02.03.01.04	 GO:0006354
11.02.03.01.07	 GO:0006353
11.02.03.04	 GO:0045449
11.02.03.04.01	 GO:0016563
11.02.03.04.03	 GO:0016564
11.04	 GO:0006396
11.04.01	 GO:0006364
11.04.02	 GO:0008033
11.04.03	 GO:0006397
11.04.03.01	 GO:0008380
11.04.03.01.10	 GO:0043484
11.04.03.03	 GO:0006370
11.04.03.05	 GO:0031123
11.04.03.11	 GO:0043488
11.06	 GO:0009451
11.06.01	 GO:0000154
11.06.02	 GO:0006400
11.06.03	 GO:0016556
11.06.03.01	 GO:0006381
12	 GO:0006412
12.01	 GO:0007046
12.04	 GO:0043037
12.04.01	 GO:0006413
12.04.02	 GO:0006414
12.04.03	 GO:0006415
12.07	 GO:0006445
12.10	 GO:0004812
14	 GO:0006457
14.01	 GO:0006457
14.04	 GO:0006605
14.07	 GO:0006464
14.07.01	 GO:0006497
14.07.02	 GO:0006486
14.07.02.01	 GO:0006493
14.07.02.02	 GO:0006487
14.07.03	 GO:0006468
14.07.04	 GO:0006473
14.07.05	 GO:0016579
14.07.07	 GO:0019951
14.07.09	 GO:0018126
14.07.11	 GO:0016485
14.07.11.01	 GO:0016540
14.10	 GO:0006461
14.13	 GO:0030163
14.13.01.01	 GO:0043161
14.13.04	 GO:0007039
14.13.04.02	 GO:0007039
16.01	 GO:0005515
16.02	 GO:0042277
16.03	 GO:0003676
16.03.01	 GO:0003677
16.03.03	 GO:0003723
16.05	 GO:0030247
16.06	 GO:0003774
16.07	 GO:0005198
16.09	 GO:0008289
16.11	 GO:0016597
16.12	 GO:0043199
16.13.01	 GO:0005529
16.13.03	 GO:0005504
16.17	 GO:0046872
16.17.01	 GO:0005509
16.17.03	 GO:0030955
16.17.05	 GO:0031402
16.17.07	 GO:0000287
16.19	 GO:0000166
16.19.01	 GO:0030551
16.19.03	 GO:0005524
16.19.05	 GO:0005525
16.21	 GO:0048037
16.21.01	 GO:0020037
16.21.03	 GO:0043546
16.21.05	 GO:0050660
16.21.07	 GO:0051287
16.21.08	 GO:0051536
16.21.09	 GO:0031419
16.21.11	 GO:0030976
16.21.13	 GO:0043544
16.21.15	 GO:0009374
16.21.17	 GO:0030170
18.01.01	 GO:0006464
18.01.03	 GO:0008104
18.01.05	 GO:0016485
18.01.07	 GO:0005515
18.02.01	 GO:0050790
18.02.01.01	 GO:0043085
18.02.01.01.01	 GO:0043547
18.02.01.01.03	 GO:0016504
18.02.01.01.05	 GO:0019209
18.02.01.02	 GO:0004857
18.02.01.02.01	 GO:0005095
18.02.01.02.03	 GO:0030414
18.02.01.02.05	 GO:0019210
18.02.03	 GO:0005085
18.02.07	 GO:0030545
18.02.09	 GO:0051090
20	 GO:0006810
20.01.01	 GO:0006811
20.01.01.01	 GO:0006812
20.01.01.01.01.01	 GO:0015892
20.01.01.07	 GO:0006820
20.01.01.07.01	 GO:0015706
20.01.01.07.03	 GO:0015707
20.01.01.07.05	 GO:0008272
20.01.01.07.07	 GO:0006817
20.01.01.07.09	 GO:0006821
20.01.03	 GO:0008643
20.01.03.01	 GO:0051119
20.01.03.03	 GO:0015740
20.01.07	 GO:0006865
20.01.09	 GO:0015833
20.01.10	 GO:0015031
20.01.11	 GO:0015837
20.01.13	 GO:0006869
20.01.15	 GO:0006818
20.01.17	 GO:0006862
20.01.21	 GO:0050658
20.01.23	 GO:0015720
20.01.25	 GO:0051181
20.01.26	 GO:0006836
20.01.27	 GO:0015893
20.03.01	 GO:0015267
20.03.01.01	 GO:0005216
20.03.02.01	 GO:0015292
20.03.02.02	 GO:0015293
20.03.02.02.01	 GO:0015295
20.03.02.02.02	 GO:0015370
20.03.02.03	 GO:0015297
20.03.02.03.01	 GO:0015299
20.03.09	 GO:0009401
20.03.22	 GO:0042626
20.09.01	 GO:0051169
20.09.02	 GO:0019750
20.09.04	 GO:0006839
20.09.07	 GO:0016192
20.09.07.03	 GO:0006888
20.09.07.05	 GO:0006891
20.09.07.06	 GO:0006892
20.09.07.25	 GO:0006900
20.09.07.27	 GO:0006906
20.09.07.29	 GO:0000301
20.09.03 peroxisomal transport	 GO:0043574
20.09.13	 GO:0007034
20.09.14	 GO:0030705
20.09.14.01	 GO:0007018
20.09.14.02	 GO:0030048
20.09.16	 GO:0046903
20.09.16.01	 GO:0030253
20.09.16.02	 GO:0015628
20.09.16.03	 GO:0030257
20.09.16.04	 GO:0030255
20.09.16.05	 GO:0030255
20.09.16.09	 GO:0006887
