_id	_src_grp	_src_tag	_status	_user	name_new	name_old	symbol_new	symbol_old	synonyms_new	synonyms_old	pubMedId	term_id	term_name
CA-561	NC10_CALLGENES_FINAL_5	NCU04733	promoted	hmhood@ebs.ogi.edu	mutagen sensitive-50	UvrD/REP helicase					15800214,15800214,15800214	GO:0000724,GO:0003678,GO:0005634	double-strand break repair via homologous recombination,DNA helicase activity,nucleus
CA-581	NC10_CALLGENES_FINAL_5	NCU06240	promoted	hmhood@ebs.ogi.edu	cAMP-dependent protein kinase	protein kinase A catalytic subunit-1					15824453	GO:0005737	cytoplasm
CA-582	NC10_CALLGENES_FINAL_5	NCU00041	promoted	hmhood@ebs.ogi.edu		guanine nucleotide-binding protein subunit gamma					15701799,15701799,15701799,15701799,15701799	GO:0000909,GO:0019236,GO:0030814,GO:0005834,GO:0031680	sporocarp development involved in sexual reproduction,response to pheromone,regulation of cAMP metabolic process,heterotrimeric G-protein complex,G-protein beta/gamma-subunit complex
CA-583	NC10_CALLGENES_FINAL_5	NCU02393	promoted	hmhood@ebs.ogi.edu			mak-2			gul-1,gul-4	15802524,15802524,15802524	GO:0000909,GO:0040009,GO:0004707	sporocarp development involved in sexual reproduction,regulation of growth rate,MAP kinase activity
CA-584	NC10_CALLGENES_FINAL_5	NCU00340	promoted	hmhood@ebs.ogi.edu			pp-1				15802524,15802524,15802524	GO:0000909,GO:0040009,GO:0051019	sporocarp development involved in sexual reproduction,regulation of growth rate,mitogen-activated protein kinase binding
CA-742	NC10_CALLGENES_FINAL_5	NCU00436	promoted	hmhood@ebs.ogi.edu	hypothetical protein	GTPase FZO1					16294304	GO:0005741	mitochondrial outer membrane
CA-601	NC10_CALLGENES_FINAL_5	NCU08384	promoted	hmhood@ebs.ogi.edu	hypothetical protein	xylose reductase					15746370	GO:0042732	D-xylose metabolic process
CA-602	NC10_CALLGENES_FINAL_5	NCU00269	promoted	hmhood@ebs.ogi.edu	hypothetical protein	set-domain histone methyltransferase-2					16087750,16087750,16087750,16087750,16087750	GO:0005634,GO:0046975,GO:0019953,GO:0019954,GO:0040009	nucleus,histone methyltransferase activity (H3-K36 specific),sexual reproduction,asexual reproduction,regulation of growth rate
CA-603	NC10_CALLGENES_FINAL_5	NCU01206	promoted	hmhood@ebs.ogi.edu	hypothetical protein	set-domain histone methyltransferase-1					16087750	GO:0042054	histone methyltransferase activity
CA-604	NC10_CALLGENES_FINAL_5	NCU01932	promoted	hmhood@ebs.ogi.edu							16087750	GO:0042054	histone methyltransferase activity
CA-605	NC10_CALLGENES_FINAL_5	NCU04389	promoted	hmhood@ebs.ogi.edu		hypothetical protein					16087750	GO:0042054	histone methyltransferase activity
CA-606	NC7_FINAL_CALLGENES_3	NCU04389	deleted	hmhood@ebs.ogi.edu	conserved hypothetical protein	predicted protein		set-4					
CA-607	NC10_CALLGENES_FINAL_5	NCU06119	promoted	hmhood@ebs.ogi.edu		hypothetical protein					16087750	GO:0042054	histone methyltransferase activity
CA-608	NC10_CALLGENES_FINAL_5	NCU09495	promoted	hmhood@ebs.ogi.edu							16087750	GO:0042054	histone methyltransferase activity
CA-609	NC10_CALLGENES_FINAL_5	NCU07496	promoted	hmhood@ebs.ogi.edu							16087750	GO:0042054	histone methyltransferase activity
CA-610	NC10_CALLGENES_FINAL_5	NCU01973	promoted	hmhood@ebs.ogi.edu		hypothetical protein					16087750	GO:0042054	histone methyltransferase activity
CA-611	NC10_CALLGENES_FINAL_5	NCU08733	promoted	hmhood@ebs.ogi.edu		hypothetical protein					16087750	GO:0042054	histone methyltransferase activity
CA-641	NC10_CALLGENES_FINAL_5	NCU06416	promoted	hmhood@ebs.ogi.edu	hypothetical protein	thymine dioxygenase					15794921	GO:0050341	thymine dioxygenase activity
CA-642	NC10_CALLGENES_FINAL_5	NCU06417	promoted	hmhood@ebs.ogi.edu	hypothetical protein	uracil-5-carboxylate decarboxylase					15794921	GO:0050382	uracil-5-carboxylate decarboxylase activity
CA-643	NC10_CALLGENES_FINAL_5	NCU06733	promoted	hmhood@ebs.ogi.edu	hypothetical protein	kinesin					15483054	GO:0047497	mitochondrion transport along microtubule
