Locus	Namespace	GO-ID	GO-term	pubMedId	EvidenceCode
NCU00008.7	biological_process	GO:0046513	ceramide biosynthetic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU00008.7	cellular_component	GO:0005783	endoplasmic reticulum	None	ISS: Inferred from Sequence or Structural Similarity
NCU00008.7	molecular_function	GO:0050291	sphingosine N-acyltransferase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00018.7	biological_process	GO:0006511	ubiquitin-dependent protein catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU00018.7	biological_process	GO:0006906	vesicle fusion	None	ISS: Inferred from Sequence or Structural Similarity
NCU00018.7	biological_process	GO:0015031	protein transport	None	ISS: Inferred from Sequence or Structural Similarity
NCU00018.7	biological_process	GO:0030433	ER-associated protein catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU00018.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU00018.7	cellular_component	GO:0005789	endoplasmic reticulum membrane	None	ISS: Inferred from Sequence or Structural Similarity
NCU00018.7	cellular_component	GO:0005829	cytosol	None	ISS: Inferred from Sequence or Structural Similarity
NCU00018.7	molecular_function	GO:0016887	ATPase activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00028.7	biological_process	GO:0008283	cell proliferation	19696111	NAS: Non-traceable Author Statement
NCU00028.7	cellular_component	GO:0005575	cellular_component	21369903	IC: Inferred by Curator
NCU00030.7	biological_process	GO:0006308	DNA catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU00030.7	biological_process	GO:0006401	RNA catabolic process	None	ISS: Inferred from Sequence or Structural Similarity
NCU00030.7	biological_process	GO:0006915	apoptosis	None	ISS: Inferred from Sequence or Structural Similarity
NCU00030.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU00030.7	cellular_component	GO:0005739	mitochondrion	None	ISS: Inferred from Sequence or Structural Similarity
NCU00030.7	cellular_component	GO:0005739	mitochondrion	21145408	IDA: Inferred from Direct Assay
NCU00030.7	cellular_component	GO:0005743	mitochondrial inner membrane	None	ISS: Inferred from Sequence or Structural Similarity
NCU00030.7	molecular_function	GO:0004520	endodeoxyribonuclease activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00030.7	molecular_function	GO:0004529	exodeoxyribonuclease activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00030.7	molecular_function	GO:0004540	ribonuclease activity	None	ISS: Inferred from Sequence or Structural Similarity
NCU00037.7	biological_process	GO:0031124	mRNA 3'-end processing	None	ISS: Inferred from Sequence or Structural Similarity
NCU00037.7	cellular_component	GO:0005634	nucleus	None	ISS: Inferred from Sequence or Structural Similarity
NCU00037.7	cellular_component	GO:0005730	nucleolus	None	ISS: Inferred from Sequence or Structural Similarity
NCU00037.7	cellular_component	GO:0005829	cytosol	None	ISS: Inferred from Sequence or Structural Similarity
NCU00037.7	cellular_component	GO:0005847	mRNA cleavage and polyadenylation specificity factor complex	None	ISS: Inferred from Sequence or Structural Similarity
NCU00041.7	biological_process	GO:0000909	sporocarp development involved in sexual reproduction	15701799	IMP: Inferred from Mutant Phenotype
NCU00041.7	biological_process	GO:0019236	response to pheromone	15701799	IMP: Inferred from Mutant Phenotype
NCU00041.7	biological_process	GO:0030814	regulation of cAMP metabolic process	15701799	IMP: Inferred from Mutant Phenotype
NCU00041.7	cellular_component	GO:0005834	heterotrimeric G-protein complex	15701799	IPI: Inferred from Physical Interaction
NCU00041.7	cellular_component	GO:0031680	G-protein beta/gamma-subunit complex	15701799	IPI: Inferred from Physical Interaction
NCU00043.7	biological_process	GO:0000077	DNA damage checkpoint	None	ISS: Inferred from Sequence or Structural Similarity
NCU00043.7	biological_process	GO:0000226	microtubule cytoskeleton organization	None	ISS: Inferred from Sequence or Structural Similarity
