Locus	Symbol	FunCatId	FunCatName
NCU04158	nmr	01.02.07	regulation of nitrogen, sulfur and selenium metabolism
NCU04153	None	01.03.10	metabolism of cyclic and unusual nucleotides
NCU04153	None	10.03.01	mitotic cell cycle and cell cycle control
NCU04153	None	11.02.02	tRNA synthesis
NCU04153	None	11.06.02	tRNA modification
NCU04153	None	70.10	nucleus
NCU04358	None	11.02.03.04.03	transcription repression
NCU00116	aab-1	11.02.03.04	transcriptional control
NCU00116	aab-1	16.03.01	DNA binding
NCU00116	aab-1	70.10	nucleus
NCU12137	None	32.05.05	virulence, disease factors
NCU12137	None	42.27	extracellular / secretion proteins
NCU07609	None	20.01.03	C-compound and carbohydrate transport
NCU07609	None	20.01.25	vitamine/cofactor transport
NCU07609	None	20.09.18.07	non-vesicular cellular import
NCU07609	None	70.02	eukaryotic plasma membrane / membrane attached
NCU04483	None	01.05.02.04	sugar, glucoside, polyol and carboxylate anabolism
NCU04483	None	01.05.02.07	sugar, glucoside, polyol and carboxylate catabolism
NCU17062	None	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins
NCU17062	None	43.01.03	fungal and other eukaryotic cell type differentiation
NCU02228	None	14.07.01	modification with fatty acids (e.g. myristylation, palmitylation, farnesylation)
NCU04987	None	01.04.04	regulation of phosphate metabolism
NCU04987	None	01.06.10	regulation of lipid, fatty acid and isoprenoid metabolism
NCU03818	trm-10	20.01.27	drug/toxin transport
NCU03818	trm-10	20.03.22	transport ATPases
NCU08411	aat-1	01.01.06	metabolism of the aspartate family
NCU08411	aat-1	70.03	cytoplasm
NCU02586	None	14.10	assembly of protein complexes
NCU02586	None	16.01	protein binding
NCU02586	None	20.09.18.09.01	endocytosis
NCU05239	chs-2	01.05.03	polysaccharide metabolism
NCU00173	ce1-2	01.06	lipid, fatty acid and isoprenoid metabolism
NCU07992	None	11.02.03.04	transcriptional control
NCU07992	None	70.10	nucleus
NCU02264	pfo-3	14.01	protein folding and stabilization
NCU02264	pfo-3	16.01	protein binding
NCU06027	qa-1S	11.02.03.04.03	transcription repression
NCU06027	qa-1S	16.01	protein binding
NCU09297	cnd-3	10.03.04.03	chromosome condensation
NCU09297	cnd-3	42.10.03	organization of chromosome structure
NCU09297	cnd-3	70.03	cytoplasm
NCU09297	cnd-3	70.10	nucleus
NCU09637	None	01.05	C-compound and carbohydrate metabolism
NCU09637	None	01.20	secondary metabolism
NCU09637	None	32.05.05.01	toxins
NCU02635	gt62-2	14.07.02	modification with sugar residues (e.g. glycosylation, deglycosylation)
NCU02635	gt62-2	42.01	cell wall
NCU02635	gt62-2	70.08	Golgi
NCU06761	gsl-19	01.06	lipid, fatty acid and isoprenoid metabolism
NCU04540	fwd-1	10.03.01	mitotic cell cycle and cell cycle control
NCU02615	None	11.02.03.01	general transcription activities
NCU01210	None	01.07.01	biosynthesis of vitamins, cofactors, and prosthetic groups
NCU08195	None	12.10	aminoacyl-tRNA-synthetases
NCU08195	None	70.03	cytoplasm
NCU01065	None	20.01.01.01	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.)
NCU01065	None	20.03	transport facilities
NCU09880	None	11.04	RNA processing
NCU09880	None	70.02	eukaryotic plasma membrane / membrane attached
NCU07558	None	10.03.02	meiosis
NCU03857	tca-5	01.05	C-compound and carbohydrate metabolism
NCU03857	tca-5	02.10	tricarboxylic-acid pathway (citrate cycle, Krebs cycle, TCA cycle)
NCU03317	alg-6	01.05	C-compound and carbohydrate metabolism
NCU03317	alg-6	14.07.02	modification with sugar residues (e.g. glycosylation, deglycosylation)
NCU09283	None	01.05	C-compound and carbohydrate metabolism
NCU07492	None	41.01	fungal/microorganismic development
NCU01843	cpn-3	14.01	protein folding and stabilization
NCU02514	atp-1	02.11	electron transport and membrane-associated energy conservation
NCU02514	atp-1	02.45.15	energy generation (e.g. ATP synthase)
NCU02514	atp-1	20.01.01.01	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.)
NCU02514	atp-1	20.03.22	transport ATPases
NCU02514	atp-1	20.09.04	mitochondrial transport
NCU02514	atp-1	34.01.01.03	homeostasis of protons
NCU02630	hsp78	14.01	protein folding and stabilization
NCU02630	hsp78	14.13	protein/peptide degradation
NCU02630	hsp78	32.01	stress response
NCU02726	None	01.06.02.01	phospholipid metabolism
NCU03525	oar1	01.06	lipid, fatty acid and isoprenoid metabolism
NCU03525	oar1	02.11.05	accessory proteins of electron transport and membrane-associated energy conservation
NCU03525	oar1	02.13.03	aerobic respiration
NCU06738	sec31	20.09.07.03	ER to Golgi transport
NCU06738	sec31	70.07	endoplasmic reticulum
NCU02852	None	01.20	secondary metabolism
NCU04187	snr-9	11.02.03	mRNA synthesis
NCU04187	snr-9	11.04.03.01	splicing
NCU01815	None	20.01.15	electron transport
NCU01815	None	20.03	transport facilities
NCU01815	None	70.09	intracellular transport vesicles
NCU06941	pfo-2	14.01	protein folding and stabilization
NCU06941	pfo-2	16.01	protein binding
NCU00876	None	20.09.18	cellular import
NCU00876	None	34.01.01.01	homeostasis of metal ions (Na, K, Ca etc.)
NCU06440	pca-4	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)
NCU03690	None	20.09.01	nuclear transport
NCU01123	None	98	CLASSIFICATION NOT YET CLEAR-CUT
NCU04523	None	11.02.01	rRNA synthesis
NCU04523	None	11.02.02	tRNA synthesis
NCU04523	None	70.10	nucleus
NCU09170	gh43-4	01.05.02.07	sugar, glucoside, polyol and carboxylate catabolism
NCU09103	cyp450-22	01.20	secondary metabolism
NCU00751	None	01.20.37	metabolism of peptide derived compounds
NCU08744	None	11.02.03.04	transcriptional control
NCU03147	None	02.13	respiration
NCU03147	None	14.10	assembly of protein complexes
NCU00790	hak-1	20.01.01.01	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.)
NCU00790	hak-1	20.03	transport facilities
NCU00790	hak-1	20.09.18	cellular import
NCU03782	None	11.02.03.01	general transcription activities
NCU05095	None	12.10	aminoacyl-tRNA-synthetases
NCU01045	grn	01.03.16.01	RNA degradation
NCU06244	tim13	14.04	protein targeting, sorting and translocation
NCU06244	tim13	20.09.04	mitochondrial transport
NCU06244	tim13	70.16	mitochondrion
NCU08907	ccg-13	40.01	cell growth / morphogenesis
NCU08840	arp9	42.10.03	organization of chromosome structure
NCU08840	arp9	70.10	nucleus
NCU10904	None	40.01.05	growth regulators / regulation of cell size
NCU02056	None	01.20	secondary metabolism
NCU02056	None	02.16	fermentation
NCU01165	cdc50	10.03.01	mitotic cell cycle and cell cycle control
