OldLocus	OldGeneID	NewGeneID	NewLocus	PathwayID	PathwayName	URL
NCU05924.5	7000006085086833	7000007580570005	NCU05924.7	PWY2T-10	xylan degradation
NCU03006.5	7000006085193484	7000007580580017	NCU03006.7	PWY-6075	ergosterol biosynthesis
NCU03814.5	7000006084958976	7000007580550464	NCU03814.7	TRNA-CHARGING-PWY-1	tRNA charging pathway
NCU00795.5	7000006085181620	7000007580562344	NCU00795.7	PWY-5986	ammonium transport
NCU00801.5	7000006085178696	7000007580544845	NCU00801.7	PWY2T-42	cellulose degradation III (neurospora)
NCU00809.5	7000006085178419	7000007580574816	NCU00809.7	PWY2T-10	xylan degradation
NCU00809.5	7000006085178419	7000007580574816	NCU00809.7	PWY2T-7	cellulose degradation
NCU00809.5	7000006085178419	7000007580574816	NCU00809.7	PWY2T-42	cellulose degradation III (neurospora)
NCU00916.5	7000006085193298	7000007580552148	NCU00916.7	PWY-5986	ammonium transport
NCU01132.5	7000006084964989	7000007580570855	NCU01132.7	PWY2T-10	xylan degradation
NCU01132.5	7000006084964989	7000007580570855	NCU01132.7	PWY2T-7	cellulose degradation
NCU01132.5	7000006084964989	7000007580570855	NCU01132.7	PWY2T-42	cellulose degradation III (neurospora)
NCU01633.5	7000006085097532	7000007580563245	NCU01633.7	PWY2T-42	cellulose degradation III (neurospora)
NCU01633.5	7000006085097532	7000007580563245	NCU01633.7	PWY2T-7	cellulose degradation
NCU01993.5	7000006085173893	7000007580540376	NCU01993.7	PWY3O-450	phosphatidylcholine biosynthesis I
NCU01993.5	7000006085173893	7000007580540376	NCU01993.7	PWY-3561	choline biosynthesis III
NCU04473.5	7000006085019077	7000007580583871	NCU04473.7	PWY2T-42	cellulose degradation III (neurospora)
NCU06918.5	7000006085103123	7000007580543797	NCU06918.7	PWY-6227	purine uptake
NCU00130.5	7000006085196968	7000007580555043	NCU00130.7	PWY2T-42	cellulose degradation III (neurospora)
NCU00130.5	7000006085196968	7000007580555043	NCU00130.7	PWY-4441	DIMBOA-glucoside degradation
NCU00160.5	7000006085197652	7000007580584816	NCU00160.7	PWY-4302	aerobic respiration -- electron donor III
NCU00160.5	7000006085197652	7000007580584816	NCU00160.7	PWY2T-14	aerobic xylose fermentation
NCU00160.5	7000006085197652	7000007580584816	NCU00160.7	PWY2T-15	aerobic xylose fermentation
NCU00160.5	7000006085197652	7000007580584816	NCU00160.7	PWY2T-2574	aerobic respiration
NCU00160.5	7000006085197652	7000007580584816	NCU00160.7	PWY-3781	aerobic respiration -- electron donor II
NCU00160.5	7000006085197652	7000007580584816	NCU00160.7	PWY2T-21	redox potential pathway
NCU00163.5	7000006085198450	7000007580579762	NCU00163.7	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	dolichyl-diphosphooligosaccharide biosynthesis
NCU00227.5	7000006085207906	7000007580555027	NCU00227.7	PWY-5986	ammonium transport
NCU00299.5	7000006085198869	7000007580554684	NCU00299.7	FAO-PWY	fatty acid &beta;-oxidation I
NCU00385.5	7000006085195590	7000007580574084	NCU00385.7	PWY2T-14	aerobic xylose fermentation
NCU00385.5	7000006085195590	7000007580574084	NCU00385.7	PWY2T-15	aerobic xylose fermentation
NCU00385.5	7000006085195590	7000007580574084	NCU00385.7	PWY2T-2574	aerobic respiration
NCU00418.5	7000006085197771	7000007580558309	NCU00418.7	PWY-4302	aerobic respiration -- electron donor III
NCU00418.5	7000006085197771	7000007580558309	NCU00418.7	PWY2T-14	aerobic xylose fermentation
NCU00418.5	7000006085197771	7000007580558309	NCU00418.7	PWY2T-15	aerobic xylose fermentation
NCU00418.5	7000006085197771	7000007580558309	NCU00418.7	PWY2T-2574	aerobic respiration
NCU00418.5	7000006085197771	7000007580558309	NCU00418.7	PWY-3781	aerobic respiration -- electron donor II
NCU00418.5	7000006085197771	7000007580558309	NCU00418.7	PWY2T-21	redox potential pathway
NCU00468.5	7000006085206034	7000007580547308	NCU00468.7	TYRSYN-1	tyrosine biosynthesis I
NCU00484.5	7000006085208256	7000007580558184	NCU00484.7	PWY-4302	aerobic respiration -- electron donor III
NCU00484.5	7000006085208256	7000007580558184	NCU00484.7	PWY2T-14	aerobic xylose fermentation
NCU00484.5	7000006085208256	7000007580558184	NCU00484.7	PWY2T-15	aerobic xylose fermentation
NCU00484.5	7000006085208256	7000007580558184	NCU00484.7	PWY2T-2574	aerobic respiration
NCU00484.5	7000006085208256	7000007580558184	NCU00484.7	PWY-3781	aerobic respiration -- electron donor II
NCU00484.5	7000006085208256	7000007580558184	NCU00484.7	PWY2T-21	redox potential pathway
NCU00498.5	7000006085211193	7000007580571142	NCU00498.7	PWY-5354	molybdenum cofactor biosynthesis
NCU00502.5	7000006085182162	7000007580559585	NCU00502.7	PWY2T-14	aerobic xylose fermentation
NCU00502.5	7000006085182162	7000007580559585	NCU00502.7	PWY2T-15	aerobic xylose fermentation
NCU00502.5	7000006085182162	7000007580559585	NCU00502.7	PWY2T-2574	aerobic respiration
NCU00552.5	7000006085194760	7000007580587983	NCU00552.7	PWY-5942	<i>trans</i>-lycopene biosynthesis I (bacteria)
NCU00552.5	7000006085194760	7000007580587983	NCU00552.7	PWY-6287	neurosporene biosynthesis
NCU00552.5	7000006085194760	7000007580587983	NCU00552.7	PWY-6681	neurosporaxanthin biosynthesis
NCU00580.5	7000006085193458	7000007580552211	NCU00580.7	PWY2T-2575	linoleate biosynthesis II (neurospora)
NCU00580.5	7000006085193458	7000007580552211	NCU00580.7	PWY2T-2576	&alpha;-linolenate biosynthesis II (neurospora)
NCU00580.5	7000006085193458	7000007580552211	NCU00580.7	PWY-5996	oleate biosynthesis II (neurospora)
NCU00580.5	7000006085193458	7000007580552211	NCU00580.7	PWY2T-27	fatty acid elongation
NCU00580.5	7000006085193458	7000007580552211	NCU00580.7	PWY0-1337	oleate &beta;-oxidation
NCU00580.5	7000006085193458	7000007580552211	NCU00580.7	PWY-5972	stearate biosynthesis I (animals)
NCU00580.5	7000006085193458	7000007580552211	NCU00580.7	PWY-5970-1	fatty acids biosynthesis (yeast)
NCU00580.5	7000006085193458	7000007580552211	NCU00580.7	PWY-5148	acyl-CoA hydrolysis
NCU00591.5	7000006085191673	7000007580587609	NCU00591.7	LEU-DEG2-PWY	leucine degradation I
NCU00636.5	7000006085182113	7000007580565834	NCU00636.7	PWY2T-14	aerobic xylose fermentation
NCU00636.5	7000006085182113	7000007580565834	NCU00636.7	PWY2T-15	aerobic xylose fermentation
NCU00636.5	7000006085182113	7000007580565834	NCU00636.7	PWY2T-2574	aerobic respiration
NCU00644.5	7000006085181940	7000007580574863	NCU00644.7	PWY2T-14	aerobic xylose fermentation
NCU00644.5	7000006085181940	7000007580574863	NCU00644.7	PWY2T-15	aerobic xylose fermentation
NCU00644.5	7000006085181940	7000007580574863	NCU00644.7	PWY2T-2574	aerobic respiration
NCU00660.5	7000006085178773	7000007580582551	NCU00660.7	PWY-5921	L-glutamine biosynthesis II (tRNA-dependent)
NCU00670.5	7000006085176035	7000007580587639	NCU00670.7	PWY-4302	aerobic respiration -- electron donor III
NCU00670.5	7000006085176035	7000007580587639	NCU00670.7	PWY2T-14	aerobic xylose fermentation
NCU00670.5	7000006085176035	7000007580587639	NCU00670.7	PWY2T-15	aerobic xylose fermentation
NCU00670.5	7000006085176035	7000007580587639	NCU00670.7	PWY2T-2574	aerobic respiration
NCU00670.5	7000006085176035	7000007580587639	NCU00670.7	PWY-3781	aerobic respiration -- electron donor II
NCU00670.5	7000006085176035	7000007580587639	NCU00670.7	PWY2T-21	redox potential pathway
NCU00677.5	7000006085173229	7000007580540362	NCU00677.7	PWY0-321	phenylacetate degradation I (aerobic)
NCU00680.5	7000006085173125	7000007580551979	NCU00680.7	PWY0-42	2-methylcitrate cycle I
