OldLocus	OldGeneID	NewGeneID	NewLocus	RxnID	ReactionName	ReactionEqn	URL
NCU05924.5	7000006085086833	7000007580570005	NCU05924.7	3.2.1.8-RXN	EC# 3.2.1.8	xylan + H<SUB>2</SUB>O  &rarr;  xylobiose
NCU03006.5	7000006085193484	7000007580580017	NCU03006.7	RXN-4021	EC# 2.1.1.41	<i>S</i>-adenosyl-L-methionine + cycloartenol  =  <i>S</i>-adenosyl-L-homocysteine + 24-methylenecycloartenol + H<SUP>+</SUP>
NCU03006.5	7000006085193484	7000007580580017	NCU03006.7	RXN3O-178	EC# 2.1.1.41	<i>S</i>-adenosyl-L-methionine + zymosterol  &rarr;  <i>S</i>-adenosyl-L-homocysteine + fecosterol + H<SUP>+</SUP>
NCU03814.5	7000006084958976	7000007580550464	NCU03814.7	LEUCINE--TRNA-LIGASE-RXN	EC# 6.1.1.4	L-leucine + tRNA<SUP>leu</SUP> + ATP + H<SUP>+</SUP>  &rarr;  L-leucyl-tRNA<SUP>leu</SUP> + diphosphate + AMP
NCU00589.5	7000006085193417	7000007580588057	NCU00589.7	TRANS-RXN2T-9	Transport of H<SUP>+</SUP>	indole-3-acetate<sub>[cytosol]</sub> + H<SUP>+</SUP><sub>[cytosol]</sub>  &rarr;  indole-3-acetate<sub>[extracellular space]</sub> + H<SUP>+</SUP><sub>[extracellular space]</sub>
NCU00648.5	7000006085178986	7000007580569112	NCU00648.7	TRANS-RXN2T-10	Transport of choline	choline<sub>[extracellular space]</sub>  &rarr;  choline<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-5	Transport of a nucleotide	a nucleotide<sub>[extracellular space]</sub>  &harr;  a nucleotide<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-306	TRANS-RXN2T-5-CPD-13025//CPD-13025.21.	guanosine 2'-monophosphate<sub>[extracellular space]</sub>  &rarr;  guanosine 2'-monophosphate<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-305	TRANS-RXN2T-5-CPD-3705//CPD-3705.19.	adenosine 2'-monophosphate<sub>[extracellular space]</sub>  &rarr;  adenosine 2'-monophosphate<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-304	TRANS-RXN2T-5-CPD-3710//CPD-3710.19.	cytidine 2'-monophosphate<sub>[extracellular space]</sub>  &rarr;  cytidine 2'-monophosphate<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-303	TRANS-RXN2T-5-CPD-3723//CPD-3723.19.	uridine 2'-monophosphate<sub>[extracellular space]</sub>  &rarr;  uridine 2'-monophosphate<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-302	TRANS-RXN2T-5-CAMP//CAMP.11.	cyclic-AMP<sub>[extracellular space]</sub>  &rarr;  cyclic-AMP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-301	TRANS-RXN2T-5-DADP//DADP.11.	2'-deoxyadenosine-5'-diphosphate<sub>[extracellular space]</sub>  &rarr;  2'-deoxyadenosine-5'-diphosphate<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-300	TRANS-RXN2T-5-DCDP//DCDP.11.	dCDP<sub>[extracellular space]</sub>  &rarr;  dCDP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-299	TRANS-RXN2T-5-DGDP//DGDP.11.	2'-deoxyguanosine-5'-diphosphate<sub>[extracellular space]</sub>  &rarr;  2'-deoxyguanosine-5'-diphosphate<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-298	TRANS-RXN2T-5-DUDP//DUDP.11.	dUDP<sub>[extracellular space]</sub>  &rarr;  dUDP<sub>[cytosol]</sub>
NCU00668.5	7000006085176072	7000007580577149	NCU00668.7	TRANS-RXN2T-297	TRANS-RXN2T-5-TDP//TDP.9.	dTDP<sub>[extracellular space]</sub>  &rarr;  dTDP<sub>[cytosol]</sub>
