geneid	funcatid	funcattermname	pubmedid	evidencecode
NCU00007	30.05	transmembrane signal transduction	PMID:15486203	IEA
NCU00007	34.11.03.11	pH response	PMID:15486203	IEA
NCU00007	70.02	eukaryotic plasma membrane / membrane attached	PMID:15486203	IEA
NCU00008	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00008	20.09.07.03	ER to Golgi transport	PMID:15486203	IEA
NCU00008	40.20	cell aging	PMID:15486203	IEA
NCU00008	70.07	endoplasmic reticulum	PMID:15486203	IEA
NCU00010	16.17.09	heavy metal binding (Cu, Fe, Zn)	PMID:15486203	IEA
NCU00010	20.01.01.01.01	heavy metal ion transport (Cu+, Fe3+, etc.)	PMID:15486203	IEA
NCU00010	20.03.25	ABC transporters	PMID:15486203	IEA
NCU00010	20.09.13	vacuolar/lysosomal transport	PMID:15486203	IEA
NCU00010	32.05.01.03.03	inorganic chemical agent resistance (e.g. heavy metals)	PMID:15486203	IEA
NCU00010	32.07.05	detoxification by export	PMID:15486203	IEA
NCU00010	34.01.01.01	homeostasis of metal ions (Na, K, Ca etc.)	PMID:15486203	IEA
NCU00010	70.25	vacuole or lysosome	PMID:15486203	IEA
NCU00018	14.13.01.01	proteasomal degradation (ubiquitin/proteasomal pathway)	PMID:15486203	IEA
NCU00019	10.01.09.05	DNA conformation modification (e.g. chromatin)	PMID:15486203	IEA
NCU00019	10.03.01	mitotic cell cycle and cell cycle control	PMID:15486203	IEA
NCU00019	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU00019	70.10	nucleus	PMID:15486203	IEA
NCU00021	10.03.03	cytokinesis (cell division) /septum formation and hydrolysis	PMID:15486203	IEA
NCU00021	12.04.01	translation initiation	PMID:15486203	IEA
NCU00021	42.16	mitochondrion	PMID:15486203	IEA
NCU00023	16.17.09	heavy metal binding (Cu, Fe, Zn)	PMID:15486203	IEA
NCU00023	20.01.01.01.01	heavy metal ion transport (Cu+, Fe3+, etc.)	PMID:15486203	IEA
NCU00023	20.09.18	cellular import	PMID:15486203	IEA
NCU00023	34.01.01.01	homeostasis of metal ions (Na, K, Ca etc.)	PMID:15486203	IEA
NCU00023	70.02	eukaryotic plasma membrane / membrane attached	PMID:15486203	IEA
NCU00027	11.04.02	tRNA processing	PMID:15486203	IEA
NCU00028	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU00029	20.01.01.01	cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.)	PMID:15486203	IEA
NCU00029	20.09.13	vacuolar/lysosomal transport	PMID:15486203	IEA
NCU00029	34.01.01	homeostasis of cations	PMID:15486203	IEA
NCU00029	70.25	vacuole or lysosome	PMID:15486203	IEA
NCU00030	01.03.16	polynucleotide degradation	PMID:15486203	IEA
NCU00030	70.16	mitochondrion	PMID:15486203	IEA
NCU00032	20.09.03	peroxisomal transport	PMID:15486203	IEA
NCU00034	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00034	14.07.01	modification with fatty acids (e.g. myristylation, palmitylation, farnesylation)	PMID:15486203	IEA
NCU00035	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00040	12.04.01	translation initiation	PMID:15486203	IEA
NCU00040	70.03	cytoplasm	PMID:15486203	IEA
NCU00041	30.01.05.05.03	trimeric G-protein mediated signal transduction	PMID:15486203	IEA
NCU00041	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins	PMID:15486203	IEA
NCU00045	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU00050	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU00050	02.01	glycolysis and gluconeogenesis	PMID:15486203	IEA
NCU00050	70.16	mitochondrion	PMID:15486203	IEA
NCU00067	18.02.01	enzymatic activity regulation / enzyme regulator	PMID:15486203	IEA
NCU00075	14.01	protein folding and stabilization	PMID:15486203	IEA
NCU00075	32.01.05	heat shock response	PMID:15486203	IEA
NCU00075	70.16	mitochondrion	PMID:15486203	IEA
NCU00077	10.01.02	DNA topology	PMID:15486203	IEA
NCU00077	16.03.01	DNA binding	PMID:15486203	IEA
NCU00081	10.01.02	DNA topology	PMID:15486203	IEA
NCU00081	16.03.01	DNA binding	PMID:15486203	IEA
NCU00081	70.10	nucleus	PMID:15486203	IEA
NCU00086	01.05.03	polysaccharide metabolism	PMID:15486203	IEA
NCU00087	11.04.02	tRNA processing	PMID:15486203	IEA
NCU00088	01.04	phosphate metabolism	PMID:15486203	IEA
NCU00088	01.20	secondary metabolism	PMID:15486203	IEA
NCU00088	70.03	cytoplasm	PMID:15486203	IEA
NCU00090	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU00090	16.03.01	DNA binding	PMID:15486203	IEA
NCU00090	34.11.03.11	pH response	PMID:15486203	IEA
NCU00095	34.01.01.01	homeostasis of metal ions (Na, K, Ca etc.)	PMID:15486203	IEA
NCU00104	14.13	protein/peptide degradation	PMID:15486203	IEA
NCU00104	16.19.03	ATP binding	PMID:15486203	IEA
NCU00104	32.01.05	heat shock response	PMID:15486203	IEA
NCU00105	12.01	ribosome biogenesis	PMID:15486203	IEA
NCU00105	70.03	cytoplasm	PMID:15486203	IEA
NCU00105	70.10	nucleus	PMID:15486203	IEA
NCU00106	01.01.03.03.01	biosynthesis of proline	PMID:15486203	IEA
NCU00106	70.03	cytoplasm	PMID:15486203	IEA
NCU00114	12.01.01	ribosomal proteins	PMID:15486203	IEA
NCU00116	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU00116	16.03.01	DNA binding	PMID:15486203	IEA
NCU00116	70.10	nucleus	PMID:15486203	IEA
NCU00117	20.09.07	vesicular transport (Golgi network, etc.)	PMID:15486203	IEA
NCU00117	20.09.16	cellular export and secretion	PMID:15486203	IEA
NCU00118	10.03.02	meiosis	PMID:15486203	IEA
NCU00122	14.13	protein/peptide degradation	PMID:15486203	IEA
NCU00122	70.03	cytoplasm	PMID:15486203	IEA
NCU00129	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00130	01.05.02.07	sugar, glucoside, polyol and carboxylate catabolism	PMID:15486203	IEA
NCU00130	01.05.03	polysaccharide metabolism	PMID:15486203	IEA
NCU00133	10.01.03	DNA synthesis and replication	PMID:15486203	IEA
NCU00133	10.01.09.05	DNA conformation modification (e.g. chromatin)	PMID:15486203	IEA
NCU00133	16.01	protein binding	PMID:15486203	IEA
NCU00133	70.10	nucleus	PMID:15486203	IEA
NCU00135	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00135	70.16	mitochondrion	PMID:15486203	IEA
NCU00136	12.07	translational control	PMID:15486203	IEA
NCU00136	70.16	mitochondrion	PMID:15486203	IEA
NCU00137	10.01.03	DNA synthesis and replication	PMID:15486203	IEA
NCU00137	10.01.05	DNA recombination and DNA repair	PMID:15486203	IEA
NCU00137	16.03.01	DNA binding	PMID:15486203	IEA
NCU00138	34.11.03.07	pheromone response, mating-type determination, sex-specific proteins	PMID:15486203	IEA
NCU00145	42.10.03	organization of chromosome structure	PMID:15486203	IEA
NCU00145	70.10.03	chromosome	PMID:15486203	IEA
NCU00150	01.01.09.07.01	biosynthesis of histidine	PMID:15486203	IEA
NCU00152	43.01.03.05	budding, cell polarity and filament formation	PMID:15486203	IEA
NCU00152	70.01	cell wall	PMID:15486203	IEA
NCU00154	14.13	protein/peptide degradation	PMID:15486203	IEA
NCU00157	30.01.05	enzyme mediated signal transduction	PMID:15486203	IEA
NCU00158	02.45.20	regulation of energy conversion / regeneration	PMID:15486203	IEA
NCU00158	11.04.03.01	splicing	PMID:15486203	IEA
NCU00158	16.03.03	RNA binding	PMID:15486203	IEA
NCU00158	34.01.01.01	homeostasis of metal ions (Na, K, Ca etc.)	PMID:15486203	IEA
NCU00163	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU00163	14.07.02	modification with sugar residues (e.g. glycosylation, deglycosylation)	PMID:15486203	IEA
NCU00168	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00169	14.04	protein targeting, sorting and translocation	PMID:15486203	IEA
NCU00169	70	SUBCELLULAR LOCALIZATION	PMID:15486203	IEA
NCU00170	14.01	protein folding and stabilization	PMID:15486203	IEA
NCU00173	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00177	01.03.01	purin nucleotide/nucleoside/nucleobase metabolism	PMID:15486203	IEA
NCU00177	70.03	cytoplasm	PMID:15486203	IEA
NCU00181	14.01	protein folding and stabilization	PMID:15486203	IEA
NCU00187	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU00187	01.20	secondary metabolism	PMID:15486203	IEA
NCU00188	14.07.03	modification by phosphorylation, dephosphorylation, autophosphorylation	PMID:15486203	IEA
NCU00188	30.01	cellular signalling	PMID:15486203	IEA
NCU00193	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00193	42.01	cell wall	PMID:15486203	IEA
NCU00193	70.07	endoplasmic reticulum	PMID:15486203	IEA
NCU00194	01.01	amino acid metabolism	PMID:15486203	IEA
NCU00195	20.01.25	vitamine/cofactor transport	PMID:15486203	IEA
NCU00195	20.09.18.07	non-vesicular cellular import	PMID:15486203	IEA
NCU00195	70.02	eukaryotic plasma membrane / membrane attached	PMID:15486203	IEA
NCU00196	14.10	assembly of protein complexes	PMID:15486203	IEA
NCU00196	18.02.01.01.01	GTPase activator (GAP)	PMID:15486203	IEA
NCU00196	30.01.05.05	G-protein mediated signal transduction	PMID:15486203	IEA
NCU00196	42.04.03	actin cytoskeleton	PMID:15486203	IEA
NCU00198	14.04	protein targeting, sorting and translocation	PMID:15486203	IEA
NCU00198	16.01	protein binding	PMID:15486203	IEA
NCU00198	20.09.04	mitochondrial transport	PMID:15486203	IEA
NCU00198	70.16	mitochondrion	PMID:15486203	IEA
NCU00199	20.09.01	nuclear transport	PMID:15486203	IEA
NCU00199	70.10	nucleus	PMID:15486203	IEA
NCU00200	01.01.09.06.01	biosynthesis of tryptophan	PMID:15486203	IEA
NCU00200	70.03	cytoplasm	PMID:15486203	IEA
NCU00202	42.04.03	actin cytoskeleton	PMID:15486203	IEA
NCU00202	70.04	cytoskeleton	PMID:15486203	IEA
NCU00203	10.01.09.05	DNA conformation modification (e.g. chromatin)	PMID:15486203	IEA
NCU00203	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU00203	14.07	protein modification	PMID:15486203	IEA
NCU00205	10.03.01	mitotic cell cycle and cell cycle control	PMID:15486203	IEA
NCU00205	10.03.03	cytokinesis (cell division) /septum formation and hydrolysis	PMID:15486203	IEA
NCU00205	70.10	nucleus	PMID:15486203	IEA
NCU00211	12.01.01	ribosomal proteins	PMID:15486203	IEA
NCU00211	70.16	mitochondrion	PMID:15486203	IEA
NCU00212	11.02.03.04	transcriptional control	PMID:15486203	IEA
NCU00212	70.10.03	chromosome	PMID:15486203	IEA
NCU00216	02.13	respiration	PMID:15486203	IEA
NCU00216	20.01.15	electron transport	PMID:15486203	IEA
NCU00220	11.02.03.04.03	transcription repression	PMID:15486203	IEA
NCU00220	70.10	nucleus	PMID:15486203	IEA
NCU00225	01.05.25	regulation of C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU00227	20.01.03	C-compound and carbohydrate transport	PMID:15486203	IEA
NCU00227	70.16	mitochondrion	PMID:15486203	IEA
NCU00232	16.19	nucleotide/nucleoside/nucleobase binding	PMID:15486203	IEA
NCU00242	14.04	protein targeting, sorting and translocation	PMID:15486203	IEA
NCU00242	20.09.13	vacuolar/lysosomal transport	PMID:15486203	IEA
NCU00243	10.03.05.01	spindle pole body/centrosome and microtubule cycle	PMID:15486203	IEA
NCU00243	42.04.05	microtubule cytoskeleton	PMID:15486203	IEA
NCU00243	70.04.05	microtubule cytoskeleton	PMID:15486203	IEA
NCU00244	01.05.03	polysaccharide metabolism	PMID:15486203	IEA
NCU00246	32.05.05	virulence, disease factors	PMID:15486203	IEA
NCU00246	70.02	eukaryotic plasma membrane / membrane attached	PMID:15486203	IEA
NCU00249	14.13.01	cytoplasmic and nuclear protein degradation	PMID:15486203	IEA
NCU00257	42.04.05	microtubule cytoskeleton	PMID:15486203	IEA
NCU00258	12.01.01	ribosomal proteins	PMID:15486203	IEA
NCU00258	70.03	cytoplasm	PMID:15486203	IEA
NCU00260	01.05	C-compound and carbohydrate metabolism	PMID:15486203	IEA
NCU00260	02.16.01	alcohol fermentation	PMID:15486203	IEA
NCU00263	14.13	protein/peptide degradation	PMID:15486203	IEA
NCU00269	10.01.09.05	DNA conformation modification (e.g. chromatin)	PMID:15486203	IEA
NCU00269	11.02.03.04.03	transcription repression	PMID:15486203	IEA
NCU00269	14.07.09	posttranslational modification of amino acids (e.g. hydroxylation, methylation)	PMID:15486203	IEA
NCU00269	70.10	nucleus	PMID:15486203	IEA
NCU00273	20.03.01.05	nuclear pore forming protein	PMID:15486203	IEA
NCU00273	20.09.01	nuclear transport	PMID:15486203	IEA
NCU00273	42.10.05	nuclear membrane	PMID:15486203	IEA
NCU00273	70.10.05	nuclear membrane	PMID:15486203	IEA
NCU00276	10.01.03	DNA synthesis and replication	PMID:15486203	IEA
NCU00276	16.03.01	DNA binding	PMID:15486203	IEA
NCU00276	70.16	mitochondrion	PMID:15486203	IEA
NCU00281	01.06	lipid, fatty acid and isoprenoid metabolism	PMID:15486203	IEA
NCU00281	01.06.02.02	glycolipid metabolism	PMID:15486203	IEA
NCU00281	32.05.05	virulence, disease factors	PMID:15486203	IEA
